Estructura;ID;Grupos;Aristas;Tiempo;Memoria
graphCompDense;0;triple;0;60359;12658409472
graphCompDense;1;triple;3983;60001;12826181632
graphCompDense;2;triple;178;60001;14805893120
graphCompDense;3;triple;708;60001;10565451776
graphCompDense;4;triple;3;60309;12868124672
graphCompDense;5;triple;0;60001;7419723776
graphCompDense;6;triple;90;60956;13237223424
graphCompDense;7;triple;134;60001;12863930368
graphCompDense;8;triple;244;60001;12842958848
graphCompDense;9;triple;20;60001;11534336000
graphCompDense;10;triple;1437;60351;7251951616
graphCompDense;11;triple;5431;60001;9944694784
graphCompDense;12;triple;0;62534;13233029120
graphCompDense;13;triple;38;60754;12817793024
graphCompDense;14;triple;222;60001;12331253760
graphCompDense;15;triple;15;60001;12213813248
graphCompDense;16;triple;21;60001;13186891776
graphCompDense;17;triple;17;60001;12805210112
graphCompDense;18;triple;931;60001;12670992384
graphCompDense;19;triple;256;60001;12914262016
graphCompDense;20;triple;87;60001;12989759488
graphCompDense;21;triple;7265;60017;5796528128
graphCompDense;22;triple;5;60121;13258194944
graphCompDense;23;triple;115;61312;13241417728
graphCompDense;24;triple;176;61603;13228834816
graphCompDense;25;triple;1972;60001;12536774656
graphCompDense;26;triple;12552;60001;11412701184
graphCompDense;27;triple;134;60001;13115588608
graphCompDense;28;triple;75;61377;13212057600
graphCompDense;29;triple;6452;60001;13337886720
graphCompDense;30;triple;0;62325;13233029120
graphCompDense;31;triple;36;61300;13258194944
graphCompDense;32;triple;68;60021;13149143040
graphCompDense;33;triple;2941;60001;13597933568
graphCompDense;34;triple;25258;60001;4143285552
graphCompDense;35;triple;159;60001;13396606976
graphCompDense;36;triple;440377;60001;7126122496
graphCompDense;37;triple;78;60337;13249806336
graphCompDense;38;triple;66645;60001;12767461376
graphCompDense;39;triple;2045;60033;5700059136
graphCompDense;40;triple;84;61895;13233029120
graphCompDense;41;triple;47;61396;13228834816
graphCompDense;42;triple;119;60001;15908995072
graphCompDense;43;triple;11;61704;13224640512
graphCompDense;44;triple;9132;60001;3997171712
graphCompDense;45;triple;168447;60001;2449473536
graphCompDense;46;triple;2191;60012;7373586432
graphCompDense;47;triple;171;60706;13476298752
graphCompDense;48;triple;428;60001;7302283264
graphCompDense;49;triple;79;60001;10716446720
graphCompDense;50;triple;79;60001;12830375936
graphCompDense;51;triple;1188;62320;10045358080
graphCompDense;52;triple;0;60001;12998148096
graphCompDense;53;triple;18;60001;11215568896
graphCompDense;54;triple;216;60932;12633243648
graphCompDense;55;triple;1702;62092;10234101760
graphCompDense;56;triple;0;62954;13224640512
graphCompDense;57;triple;255985;60001;12553551872
graphCompDense;58;triple;0;60312;13233029120
graphCompDense;59;triple;35;62624;13237223424
graphCompDense;60;triple;236;60001;12238979072
graphCompDense;61;triple;84;60001;13191086080
graphCompDense;62;triple;4;60001;11320426496
graphCompDense;63;triple;100;60001;12104761344
graphCompDense;64;triple;95;62004;13241417728
graphCompDense;65;triple;934;60035;9420406784
graphCompDense;66;triple;1421;60001;13920894976
graphCompDense;67;triple;81;61001;13224640512
graphCompDense;68;triple;57;62301;13245612032
graphCompDense;69;triple;122;60001;12813598720
graphCompDense;70;triple;89;60001;11706302464
graphCompDense;71;triple;17;60903;13245612032
graphCompDense;72;triple;0;60001;13295943680
graphCompDense;73;triple;286;60016;12159287296
graphCompDense;74;triple;0;62419;13274972160
graphCompDense;75;triple;129;60001;16290676736
graphCompDense;76;triple;9;60030;12863930368
graphCompDense;77;triple;0;60001;9789505536
graphCompDense;78;triple;287;60001;12880707584
graphCompDense;79;triple;0;60001;10020192256
graphCompDense;80;triple;0;61719;13224640512
graphCompDense;81;triple;0;61616;13233029120
graphCompDense;82;triple;516;60002;11324620800
graphCompDense;83;triple;2;60882;13262389248
graphCompDense;84;triple;21944;60001;11756634112
graphCompDense;85;triple;54;60001;11739856896
graphCompDense;86;triple;3;60001;12360613888
graphCompDense;87;triple;1349324;60090;2045954560
graphCompDense;88;triple;5830;60001;12612272128
graphCompDense;89;triple;55;61243;13233029120
graphCompDense;90;triple;154;60001;12863930368
graphCompDense;91;triple;132;60001;13694402560
graphCompDense;92;triple;3702;60001;2037134096
graphCompDense;93;triple;1724;60035;4725370368
graphCompDense;94;triple;14;60001;12931039232
graphCompDense;95;triple;25;61013;12834570240
graphCompDense;96;triple;86;62496;13241417728
graphCompDense;97;triple;87;61320;13212057600
graphCompDense;98;triple;1817;61084;10775166976
graphCompDense;99;triple;10;60001;12402556928
