Estructura;ID;Grupos;Aristas;Tiempo;Memoria
graphComp;0;cuadra;2;61517;12876513280
graphComp;1;cuadra;7229;60001;11664359424
graphComp;2;cuadra;192;60001;14625538048
graphComp;3;cuadra;831;60006;10984882176
graphComp;4;cuadra;100;60006;13807648768
graphComp;5;cuadra;23;60001;13384024064
graphComp;6;cuadra;103;60001;13115588608
graphComp;7;cuadra;77;60001;13786677248
graphComp;8;cuadra;10065;60001;13954449408
graphComp;9;cuadra;50;60001;11895046144
graphComp;10;cuadra;18390;60001;12591300608
graphComp;11;cuadra;10415;60001;12897484800
graphComp;12;cuadra;2308;61510;13056868352
graphComp;13;cuadra;4450;60001;13576962048
graphComp;14;cuadra;221;61224;13136560128
graphComp;15;cuadra;1279;60001;13023313920
graphComp;16;cuadra;72;60824;13178503168
graphComp;17;cuadra;141;60870;13186891776
graphComp;18;cuadra;40885;60124;12134121472
graphComp;19;cuadra;202;60018;12876513280
graphComp;20;cuadra;95;62199;13048479744
graphComp;21;cuadra;2036;60001;5674893312
graphComp;22;cuadra;86;60001;13862174720
graphComp;23;cuadra;84;60006;13270777856
graphComp;24;cuadra;249;62559;13144948736
graphComp;25;cuadra;1224;60543;13308526592
graphComp;26;cuadra;349831;60001;9240051712
graphComp;27;cuadra;1375;62289;13103005696
graphComp;28;cuadra;17034;60002;1518338048
graphComp;29;cuadra;3874;60001;11513364480
graphComp;30;cuadra;4;60001;11643387904
graphComp;31;cuadra;168;62486;13228834816
graphComp;32;cuadra;2023;60001;11337203712
graphComp;33;cuadra;1463;60004;7272923136
graphComp;34;cuadra;6549;60001;7587495936
graphComp;35;cuadra;172;60001;13648265216
graphComp;36;cuadra;1614;60001;5909774336
graphComp;37;cuadra;124;62214;13216251904
graphComp;38;cuadra;8977;60004;8044675072
graphComp;39;cuadra;183;60001;6413090816
graphComp;40;cuadra;1098020;60001;7289700352
graphComp;41;cuadra;14;60001;11836325888
graphComp;42;cuadra;1043;60001;13547601920
graphComp;43;cuadra;108;60143;13233029120
graphComp;44;cuadra;132;61338;13216251904
graphComp;45;cuadra;160777;60001;2743074816
graphComp;46;cuadra;1584;60003;7121928192
graphComp;47;cuadra;9680;60001;13472104448
graphComp;48;cuadra;495;60294;11744051200
graphComp;49;cuadra;31;60001;12666798080
graphComp;50;cuadra;64921;60001;13593739264
graphComp;51;cuadra;115;60001;13069451264
graphComp;52;cuadra;37;61072;13228834816
graphComp;53;cuadra;140;60690;13228834816
graphComp;54;cuadra;216;61179;13233029120
graphComp;55;cuadra;1702;60001;9382658048
graphComp;56;cuadra;2256;60001;3330611448
graphComp;57;cuadra;118;61488;13237223424
graphComp;58;cuadra;34;60292;13224640512
graphComp;59;cuadra;20;61069;13233029120
graphComp;60;cuadra;320;60003;13191086080
graphComp;61;cuadra;76;60001;12402556928
graphComp;62;cuadra;75;60001;13119782912
graphComp;63;cuadra;3692;60001;14805893120
graphComp;64;cuadra;118;60001;13035896832
graphComp;65;cuadra;413;60001;11551113216
graphComp;66;cuadra;116;61478;13224640512
graphComp;67;cuadra;32975;61611;12729712640
graphComp;68;cuadra;110;60001;13543407616
graphComp;69;cuadra;157;60826;13241417728
graphComp;70;cuadra;263;60001;12876513280
graphComp;71;cuadra;1340;61502;12842958848
graphComp;72;cuadra;195527;60001;3361238016
graphComp;73;cuadra;442;60013;11739856896
graphComp;74;cuadra;1599;60001;11748245504
graphComp;75;cuadra;38737;60001;2417776752
graphComp;76;cuadra;19;60943;12830375936
graphComp;77;cuadra;0;60001;9785311232
graphComp;78;cuadra;109;60001;12738101248
graphComp;79;cuadra;69;60001;12721324032
graphComp;80;cuadra;55;60001;13077839872
graphComp;81;cuadra;2;63065;13233029120
graphComp;82;cuadra;519;60011;11211374592
graphComp;83;cuadra;22635;60001;14059307008
graphComp;84;cuadra;65189;60456;11362369536
graphComp;85;cuadra;165;60001;12809404416
graphComp;86;cuadra;145;61862;13212057600
graphComp;87;cuadra;4;61807;13237223424
graphComp;88;cuadra;2875;60001;10833887232
graphComp;89;cuadra;93;61280;13254000640
graphComp;90;cuadra;72;62309;13224640512
graphComp;91;cuadra;128;60001;10833887232
graphComp;92;cuadra;303;60001;12809404416
graphComp;93;cuadra;2621;60028;5175771136
graphComp;94;cuadra;139;62033;13237223424
graphComp;95;cuadra;17;61767;10364125184
graphComp;96;cuadra;126;60382;13224640512
graphComp;97;cuadra;388;60001;12847153152
graphComp;98;cuadra;199;61927;13241417728
graphComp;99;cuadra;72;60904;13220446208
