Estructura;ID;Grupos;Aristas;Tiempo;Memoria
graphComp;0;double;3131;60001;13045972896
graphComp;1;double;4425;60001;11664359424
graphComp;2;double;143;60001;12322865152
graphComp;3;double;15616;60001;12792627200
graphComp;4;double;0;60001;14134804480
graphComp;5;double;0;60001;10255073280
graphComp;6;double;90;60001;12935233536
graphComp;7;double;46;60001;13040091136
graphComp;8;double;43;60856;12834570240
graphComp;9;double;0;60001;14306770944
graphComp;10;double;1578;60001;12515803136
graphComp;11;double;89;60561;12985565184
graphComp;12;double;0;60001;6803161088
graphComp;13;double;38;60001;13174308864
graphComp;14;double;206;61013;13061062656
graphComp;15;double;0;61616;13094617088
graphComp;16;double;0;60736;13123977216
graphComp;17;double;156;60001;12998148096
graphComp;18;double;419;60020;11626610688
graphComp;19;double;0;61815;13165920256
graphComp;20;double;0;60001;13358858240
graphComp;21;double;6194;60001;8187281408
graphComp;22;double;29491;60001;7306477568
graphComp;23;double;0;60679;13220446208
graphComp;24;double;151;60418;13212057600
graphComp;25;double;1887;60001;5540675584
graphComp;26;double;0;60382;13233029120
graphComp;27;double;47;60001;13476298752
graphComp;28;double;25;60001;13857980416
graphComp;29;double;88;60001;13425967104
graphComp;30;double;213;61131;12427722752
graphComp;31;double;0;60531;11890851840
graphComp;32;double;30;60001;9307160576
graphComp;33;double;11110;60001;14566817792
graphComp;34;double;71;60288;13224640512
graphComp;35;double;159;60001;13480493056
graphComp;36;double;830;60001;12176064512
graphComp;37;double;78;60001;13493075968
graphComp;38;double;659;60009;10997465088
graphComp;39;double;28041;60001;13082034176
graphComp;40;double;3;60938;13233029120
graphComp;41;double;58;60001;13434355712
graphComp;42;double;60;60503;13224640512
graphComp;43;double;5623;60001;12784238592
graphComp;44;double;405;60001;13463715840
graphComp;45;double;243;60001;13136560128
graphComp;46;double;1417;60001;9213784064
graphComp;47;double;67;60001;13530824704
graphComp;48;double;30;60001;13006536704
graphComp;49;double;147;61094;13241417728
graphComp;50;double;380;60001;14080278528
graphComp;51;double;1184;60214;12914262016
graphComp;52;double;0;60001;12629049344
graphComp;53;double;0;60001;13878951936
graphComp;54;double;3702;60001;14814281728
graphComp;55;double;59;60984;13237223424
graphComp;56;double;0;60127;13233029120
graphComp;57;double;255863;60001;2778576224
graphComp;58;double;0;60001;9969860608
graphComp;59;double;0;60001;13480493056
graphComp;60;double;1720;60001;11723079680
graphComp;61;double;7;60485;13233029120
graphComp;62;double;4;61346;13237223424
graphComp;63;double;94;60918;13233029120
graphComp;64;double;0;60001;9865003008
graphComp;65;double;37415;60001;2037594656
graphComp;66;double;1421;60001;13501464576
graphComp;67;double;0;62522;13241417728
graphComp;68;double;57;61826;13249806336
graphComp;69;double;19226;60001;13065256960
graphComp;70;double;77;60088;13228834816
graphComp;71;double;66;60001;13031702528
graphComp;72;double;4436;60001;3163823896
graphComp;73;double;488;60001;11844714496
graphComp;74;double;0;60197;13237223424
graphComp;75;double;0;60001;10724835328
graphComp;76;double;5;60001;13539213312
graphComp;77;double;0;60001;5725224960
graphComp;78;double;0;60028;13245612032
graphComp;79;double;0;60001;13363052544
graphComp;80;double;0;60001;7767851008
graphComp;81;double;0;60001;14185136128
graphComp;82;double;547;60017;11270094848
graphComp;83;double;2;60684;13220446208
graphComp;84;double;30318;60001;11156848640
graphComp;85;double;41;60001;14201913344
graphComp;86;double;0;60001;13849591808
graphComp;87;double;30;60001;13971226624
graphComp;88;double;99;60363;12801015808
graphComp;89;double;0;60001;13350469632
graphComp;90;double;69;60001;14252244992
graphComp;91;double;134;60001;13392412672
graphComp;92;double;22;60292;13220446208
graphComp;93;double;1756;60009;4722786304
graphComp;94;double;0;60074;13241417728
graphComp;95;double;47;60165;13233029120
graphComp;96;double;0;60001;13316915200
graphComp;97;double;0;60001;13547601920
graphComp;98;double;80;60001;13484687360
graphComp;99;double;0;60001;13455327232
