Estructura;ID;Aristas;Tiempo;Memoria
graphComp;0;3644;60001;7606632560
graphComp;1;2;60001;24595398656
graphComp;2;31763;60001;18824036352
graphComp;3;11;60001;25488785408
graphComp;4;0;88973;27204255744
graphComp;5;143;60025;5951717376
graphComp;6;11;89293;9449766912
graphComp;7;11274;60007;2256535552
graphComp;8;2786;69287;12629049344
graphComp;9;45;115598;14461960192
graphComp;10;0;66190;18786287616
graphComp;11;0;106585;24901582848
graphComp;12;0;60634;13589544960
graphComp;13;0;60001;9395240960
graphComp;14;4;60001;27023900672
graphComp;15;90;60001;26440892416
graphComp;16;0;91393;27669823488
graphComp;17;0;60001;28303163392
graphComp;18;111;61393;26126319616
graphComp;19;21;61429;27720155136
graphComp;20;283;60838;24909971456
graphComp;21;9862;60001;24750587904
graphComp;22;0;60478;24888999936
graphComp;23;11;60919;14529069056
graphComp;24;0;60749;15120465920
graphComp;25;2750;62010;19348324352
graphComp;26;16782;60001;24385683456
graphComp;27;156;60001;25279070208
graphComp;28;5429;60078;24142413824
graphComp;29;3230;60001;15837691904
graphComp;30;0;60001;9953083392
graphComp;31;2316;60001;27715960832
graphComp;32;3830;60001;18027118592
graphComp;33;4;61125;14784921600
graphComp;34;0;60001;9244246016
graphComp;35;520;60001;25467813888
graphComp;36;238;60001;27590131712
graphComp;37;2978;60001;14323548160
graphComp;38;5;61727;24305991680
graphComp;39;4658;60012;9177137152
graphComp;40;0;60001;26491224064
graphComp;41;47;60001;27002929152
graphComp;42;30;60001;25409093632
graphComp;43;58;60001;26604470272
graphComp;44;263;60001;25350373376
graphComp;45;2629;60003;16294871040
graphComp;46;39951;60981;23387439104
graphComp;47;0;60001;27078426624
graphComp;48;437;60001;24624758784
graphComp;49;9794;60571;27032289280
graphComp;50;0;60001;25748832256
graphComp;51;0;60001;27615297536
graphComp;52;0;60001;28093448192
graphComp;53;11164;60012;5922357248
graphComp;54;100;60001;26491224064
graphComp;55;29491;60001;12830375936
graphComp;56;136;60001;26851934208
graphComp;57;0;60001;27434942464
graphComp;58;197;62310;27686600704
graphComp;59;6;60001;27074232320
graphComp;60;163;60001;27032289280
graphComp;61;0;60001;28143779840
graphComp;62;17;60001;26696744960
graphComp;63;10;60001;18215862272
graphComp;64;192;60001;25283264512
graphComp;65;0;60001;27883732992
graphComp;66;363795;60001;9261023232
graphComp;67;0;62145;27678212096
graphComp;68;0;60001;27934064640
graphComp;69;4;60001;27472691200
graphComp;70;25;60001;28517072896
graphComp;71;346;60306;25694306304
graphComp;72;166;62286;25564282880
graphComp;73;3591;60001;12341737408
graphComp;74;173;60001;24893194240
graphComp;75;213;60001;14478737408
graphComp;76;0;61373;27871150080
graphComp;77;600;60001;28089253888
graphComp;78;8;60001;27762098176
graphComp;79;190;60001;27120369664
graphComp;80;30;60001;27153924096
graphComp;81;1990;60235;25182601216
graphComp;82;0;60001;26948403200
graphComp;83;60358;60001;23655874560
graphComp;84;11074;60001;14345600240
graphComp;85;157;60001;25518145536
graphComp;86;8815;60281;9604956160
graphComp;87;949;60043;23349690368
graphComp;88;0;60001;24754782208
graphComp;89;0;60001;27732738048
graphComp;90;887;60001;25920798720
graphComp;91;3300;60788;13585350656
graphComp;92;69;60001;24352129024
graphComp;93;0;60001;27992784896
graphComp;94;421;60001;25086132224
graphComp;95;2644;60001;16315842560
graphComp;96;8546;60013;14583595008
graphComp;97;166;60001;26084376576
graphComp;98;4955;60009;7981760512
graphComp;99;289;60001;16173236224
