Estructura;ID;Aristas;Tiempo;Memoria
graphNativeFullDense;0;0;60001;11902199296
graphNativeFullDense;1;0;118031;3925868544
graphNativeFullDense;2;0;110220;5897191424
graphNativeFullDense;3;0;60061;7616856064
graphNativeFullDense;4;0;110521;10146021376
graphNativeFullDense;5;0;144270;13153337344
graphNativeFullDense;6;0;154784;15460204544
graphNativeFullDense;7;0;112132;6677331968
graphNativeFullDense;8;0;65841;8334082048
graphNativeFullDense;9;0;64941;9604956160
graphNativeFullDense;10;0;106698;12654215168
graphNativeFullDense;11;0;145876;15443427328
graphNativeFullDense;12;0;60129;3720347648
graphNativeFullDense;13;0;60065;6916407296
graphNativeFullDense;14;0;111618;10146021376
graphNativeFullDense;15;0;145618;12658409472
graphNativeFullDense;16;0;64679;13220446208
graphNativeFullDense;17;0;137875;15464398848
graphNativeFullDense;18;0;66741;3900702720
graphNativeFullDense;19;0;91981;7260340224
graphNativeFullDense;20;0;147517;10150215680
graphNativeFullDense;21;0;339528;15607005184
graphNativeFullDense;22;0;60843;8304721920
graphNativeFullDense;23;0;81433;9252634624
graphNativeFullDense;24;0;61781;10712252416
graphNativeFullDense;25;0;78794;10284433328
graphNativeFullDense;26;0;67185;14206107648
graphNativeFullDense;27;0;63830;14470348800
graphNativeFullDense;28;0;66552;11131682816
graphNativeFullDense;29;0;126767;15636365312
graphNativeFullDense;30;0;118606;6027214848
graphNativeFullDense;31;0;86376;7239368704
graphNativeFullDense;32;3;115567;9416212480
graphNativeFullDense;33;0;71412;10389291008
graphNativeFullDense;34;0;60001;8824815616
graphNativeFullDense;35;0;144682;12650020864
graphNativeFullDense;36;0;150529;15435038720
graphNativeFullDense;37;0;60028;8355053568
graphNativeFullDense;38;0;137325;9634316288
graphNativeFullDense;39;0;103565;11202985984
graphNativeFullDense;40;0;97663;12654215168
graphNativeFullDense;41;0;151404;15430844416
graphNativeFullDense;42;0;104489;6828326912
graphNativeFullDense;43;0;123705;11106516992
graphNativeFullDense;44;0;91004;12645826560
graphNativeFullDense;45;0;157164;15414067200
graphNativeFullDense;46;0;89403;9600761856
graphNativeFullDense;47;0;147838;13346275328
graphNativeFullDense;48;0;74814;14482931712
graphNativeFullDense;49;0;136983;17003708416
graphNativeFullDense;50;0;134765;13212057600
graphNativeFullDense;51;0;61080;10007609344
graphNativeFullDense;52;0;73214;11601444864
graphNativeFullDense;53;0;146119;15137243136
graphNativeFullDense;54;0;63072;7239368704
graphNativeFullDense;55;1;60068;8111783936
graphNativeFullDense;56;0;60236;10162798592
graphNativeFullDense;57;0;104647;12738101248
graphNativeFullDense;58;0;163237;15443427328
graphNativeFullDense;59;0;90296;10150215600
graphNativeFullDense;60;0;104695;12645826560
graphNativeFullDense;61;0;166415;15447621632
graphNativeFullDense;62;0;71992;7230980096
graphNativeFullDense;63;1;93673;9529458688
graphNativeFullDense;64;0;60010;11718885376
graphNativeFullDense;65;0;124149;12670992384
graphNativeFullDense;66;29;60137;11236540416
graphNativeFullDense;67;0;168193;15443427328
graphNativeFullDense;68;0;82087;7222591488
graphNativeFullDense;69;0;132301;10175381504
graphNativeFullDense;70;0;152706;12662603776
graphNativeFullDense;71;0;154494;14998831104
graphNativeFullDense;72;0;100340;6819938304
graphNativeFullDense;73;0;76397;10280239104
graphNativeFullDense;74;0;61333;11110711296
graphNativeFullDense;75;0;60246;11379146672
graphNativeFullDense;76;0;111703;13237223424
graphNativeFullDense;77;0;156396;15447621632
graphNativeFullDense;78;0;69654;7243563008
graphNativeFullDense;79;0;142750;10150215680
graphNativeFullDense;80;0;129833;12280922112
graphNativeFullDense;81;0;167561;14910750720
graphNativeFullDense;82;0;60489;7243563008
graphNativeFullDense;83;0;91275;9542041600
graphNativeFullDense;84;0;66165;10531897344
graphNativeFullDense;85;0;130167;12645826560
graphNativeFullDense;86;1;61522;12910067664
graphNativeFullDense;87;0;110696;14029946880
graphNativeFullDense;88;0;160620;17699962880
graphNativeFullDense;89;0;80913;10141827072
graphNativeFullDense;90;0;149499;14285799424
graphNativeFullDense;91;0;100751;15594422272
graphNativeFullDense;92;0;89815;6819938304
graphNativeFullDense;93;0;67330;8367636480
graphNativeFullDense;94;0;96732;10150215680
graphNativeFullDense;95;0;94232;12650020864
graphNativeFullDense;96;0;110369;14533263360
graphNativeFullDense;97;0;106189;15435038672
graphNativeFullDense;98;0;89889;7201619968
graphNativeFullDense;99;1;61051;7822376960
