Estructura;ID;Grupos;Aristas;Tiempo;Memoria
graphNativeFullDense;0;cuadra;2;60001;8959033344
graphNativeFullDense;1;cuadra;2283;60001;11005853696
graphNativeFullDense;2;cuadra;199;60001;13535019008
graphNativeFullDense;3;cuadra;69;60860;3829399552
graphNativeFullDense;4;cuadra;104;60001;10091495424
graphNativeFullDense;5;cuadra;11;60331;8019509248
graphNativeFullDense;6;cuadra;92;60808;5544869888
graphNativeFullDense;7;cuadra;56;60443;8032092160
graphNativeFullDense;8;cuadra;2124;60222;6266290176
graphNativeFullDense;9;cuadra;51;60001;10540285952
graphNativeFullDense;10;cuadra;2224;60340;2046820352
graphNativeFullDense;11;cuadra;6507;60002;5796528128
graphNativeFullDense;12;cuadra;2365;60001;9462349824
graphNativeFullDense;13;cuadra;70;61037;10192158720
graphNativeFullDense;14;cuadra;115;60018;6387924992
graphNativeFullDense;15;cuadra;844;60001;10632560640
graphNativeFullDense;16;cuadra;61;60001;8136949760
graphNativeFullDense;17;cuadra;126;60908;8287944704
graphNativeFullDense;18;cuadra;40859;60164;2420113408
graphNativeFullDense;19;cuadra;83;61083;4399824896
graphNativeFullDense;20;cuadra;79;60021;7780433920
graphNativeFullDense;21;cuadra;459;60216;5326766080
graphNativeFullDense;22;cuadra;84;60001;8996782080
graphNativeFullDense;23;cuadra;8;60001;9294577664
graphNativeFullDense;24;cuadra;200;61220;7566524416
graphNativeFullDense;25;cuadra;115;60261;4454350848
graphNativeFullDense;26;cuadra;5647;60006;8128561152
graphNativeFullDense;27;cuadra;1343;60001;4609540096
graphNativeFullDense;28;cuadra;216;60377;1237319680
graphNativeFullDense;29;cuadra;1266;60001;10183770112
graphNativeFullDense;30;cuadra;4;60001;7960788992
graphNativeFullDense;31;cuadra;133;60001;9906946048
graphNativeFullDense;32;cuadra;2052;60001;10364125184
graphNativeFullDense;33;cuadra;135;60535;3728736256
graphNativeFullDense;34;cuadra;134;60289;1677721600
graphNativeFullDense;35;cuadra;175;60001;11676942336
graphNativeFullDense;36;cuadra;19;60333;4894752768
graphNativeFullDense;37;cuadra;91;60267;7075790848
graphNativeFullDense;38;cuadra;138;60502;1669332992
graphNativeFullDense;39;cuadra;186;60471;5448400896
graphNativeFullDense;40;cuadra;1048632;60001;5960105984
graphNativeFullDense;41;cuadra;14;60001;10217324544
graphNativeFullDense;42;cuadra;813;60001;10762584064
graphNativeFullDense;43;cuadra;94;60850;9168748544
graphNativeFullDense;44;cuadra;114;62015;8019509248
graphNativeFullDense;45;cuadra;3334;60007;1551892480
graphNativeFullDense;46;cuadra;35;61249;3783198208
graphNativeFullDense;47;cuadra;2370;60001;9693036544
graphNativeFullDense;48;cuadra;98;60199;8921284608
graphNativeFullDense;49;cuadra;27;60101;11219763200
graphNativeFullDense;50;cuadra;2418;60366;5565841408
graphNativeFullDense;51;cuadra;103;60428;8019509248
graphNativeFullDense;52;cuadra;40;60001;9714008064
graphNativeFullDense;53;cuadra;141;62801;10796138496
graphNativeFullDense;54;cuadra;71;60522;5947523072
graphNativeFullDense;55;cuadra;1703;60001;4685037568
graphNativeFullDense;56;cuadra;2372;60001;783349640
graphNativeFullDense;57;cuadra;92;60001;8438939648
graphNativeFullDense;58;cuadra;11;61538;8019509248
graphNativeFullDense;59;cuadra;19;60598;8246001664
graphNativeFullDense;60;cuadra;99;60490;7721713664
graphNativeFullDense;61;cuadra;69;60001;7511998464
graphNativeFullDense;62;cuadra;76;60001;10288627712
graphNativeFullDense;63;cuadra;3349;60001;7289700352
graphNativeFullDense;64;cuadra;89;60001;7222591488
graphNativeFullDense;65;cuadra;307;60001;10162798592
graphNativeFullDense;66;cuadra;109;60001;8006926336
graphNativeFullDense;67;cuadra;33968;61902;8048869376
graphNativeFullDense;68;cuadra;108;60001;7763656704
graphNativeFullDense;69;cuadra;102;60583;6136266752
graphNativeFullDense;70;cuadra;98;60054;6115295232
graphNativeFullDense;71;cuadra;1337;60449;8036286464
graphNativeFullDense;72;cuadra;198011;60001;3732012480
graphNativeFullDense;73;cuadra;110;60008;6782189568
graphNativeFullDense;74;cuadra;120;60019;6840909824
graphNativeFullDense;75;cuadra;38822;60001;705573816
graphNativeFullDense;76;cuadra;19;60001;9097445376
graphNativeFullDense;77;cuadra;0;61420;8791261184
graphNativeFullDense;78;cuadra;75;60680;7163871232
graphNativeFullDense;79;cuadra;74;60001;8954839040
graphNativeFullDense;80;cuadra;49;60001;10150215680
graphNativeFullDense;81;cuadra;2;60001;10691280896
graphNativeFullDense;82;cuadra;12;60332;7239368704
graphNativeFullDense;83;cuadra;2351;60236;3481272320
graphNativeFullDense;84;cuadra;195;60110;1568669696
graphNativeFullDense;85;cuadra;90;60012;6849298432
graphNativeFullDense;86;cuadra;128;60001;10364125184
graphNativeFullDense;87;cuadra;2;60001;9919528960
graphNativeFullDense;88;cuadra;614;60001;9751756800
graphNativeFullDense;89;cuadra;84;61343;10259267584
graphNativeFullDense;90;cuadra;66;60001;10234101760
graphNativeFullDense;91;cuadra;130;60001;6488588288
graphNativeFullDense;92;cuadra;96;60878;7511998464
graphNativeFullDense;93;cuadra;887;60753;4731174912
graphNativeFullDense;94;cuadra;106;60365;8044675072
graphNativeFullDense;95;cuadra;14;60001;6677331968
graphNativeFullDense;96;cuadra;85;61953;8019509248
graphNativeFullDense;97;cuadra;126;60066;3208642560
graphNativeFullDense;98;cuadra;43;60001;7516192768
graphNativeFullDense;99;cuadra;69;60001;9906946048
