Estructura;ID;Grupos;Aristas;Tiempo;Memoria
graphNativeFullDense;0;double;226;60002;10460594176
graphNativeFullDense;1;double;56;60134;11236540416
graphNativeFullDense;2;double;149;60391;8128561152
graphNativeFullDense;3;double;15955;60001;11353980928
graphNativeFullDense;4;double;0;62356;10804527104
graphNativeFullDense;5;double;0;60001;9755951104
graphNativeFullDense;6;double;96;62074;10808721408
graphNativeFullDense;7;double;37;60001;9546235904
graphNativeFullDense;8;double;6;60854;9386852352
graphNativeFullDense;9;double;0;60001;10317987840
graphNativeFullDense;10;double;132;60338;1904214016
graphNativeFullDense;11;double;91;60001;10519314432
graphNativeFullDense;12;double;0;60001;5653921792
graphNativeFullDense;13;double;35;60001;10817110016
graphNativeFullDense;14;double;158;60346;6849298432
graphNativeFullDense;15;double;0;62320;10804527104
graphNativeFullDense;16;double;0;61908;10800332800
graphNativeFullDense;17;double;157;60001;11190403072
graphNativeFullDense;18;double;52;60001;9529458688
graphNativeFullDense;19;double;0;61007;10804527104
graphNativeFullDense;20;double;0;60857;10800332800
graphNativeFullDense;21;double;4736;60001;7654604800
graphNativeFullDense;22;double;20768;60001;3099562496
graphNativeFullDense;23;double;0;60175;10804527104
graphNativeFullDense;24;double;131;60692;7612661760
graphNativeFullDense;25;double;1913;60641;4877975552
graphNativeFullDense;26;double;0;60865;10808721408
graphNativeFullDense;27;double;49;60001;10213130240
graphNativeFullDense;28;double;26;60743;10817110016
graphNativeFullDense;29;double;42;61831;10800332800
graphNativeFullDense;30;double;47;60025;9768534016
graphNativeFullDense;31;double;0;60001;10578034688
graphNativeFullDense;32;double;30;60001;6840909824
graphNativeFullDense;33;double;2075;60040;6417285120
graphNativeFullDense;34;double;49;60001;7071596544
graphNativeFullDense;35;double;162;60001;11165237248
graphNativeFullDense;36;double;833;60001;8006926336
graphNativeFullDense;37;double;69;61948;10808721408
graphNativeFullDense;38;double;163;60116;5389680640
graphNativeFullDense;39;double;1332;60054;3560964096
graphNativeFullDense;40;double;3;60917;10804527104
graphNativeFullDense;41;double;33;60826;7759462400
graphNativeFullDense;42;double;61;62940;10787749888
graphNativeFullDense;43;double;1470;60024;502217408
graphNativeFullDense;44;double;404;60001;10410262528
graphNativeFullDense;45;double;16;60407;6266290176
graphNativeFullDense;46;double;1327;60001;9365880832
graphNativeFullDense;47;double;22;60001;5111403008
graphNativeFullDense;48;double;30;60001;9210691584
graphNativeFullDense;49;double;86;61192;8984199168
graphNativeFullDense;50;double;98;60001;6018826240
graphNativeFullDense;51;double;1187;60001;6455033856
graphNativeFullDense;52;double;0;60001;8434745344
graphNativeFullDense;53;double;0;60001;10825498624
graphNativeFullDense;54;double;1516;60059;843055104
graphNativeFullDense;55;double;23;60001;9030336512
graphNativeFullDense;56;double;0;60001;10921967616
graphNativeFullDense;57;double;255967;60001;1905361184
graphNativeFullDense;58;double;0;60001;9072279552
graphNativeFullDense;59;double;0;60001;10259267584
graphNativeFullDense;60;double;1733;60001;8162115584
graphNativeFullDense;61;double;7;62187;10800332800
graphNativeFullDense;62;double;4;63014;10800332800
graphNativeFullDense;63;double;93;60001;9093251072
graphNativeFullDense;64;double;0;60001;6748635136
graphNativeFullDense;65;double;37292;60001;1169758512
graphNativeFullDense;66;double;1456;60001;12050235392
graphNativeFullDense;67;double;0;62002;10800332800
graphNativeFullDense;68;double;58;60001;9529458688
graphNativeFullDense;69;double;1263;60467;7059013632
graphNativeFullDense;70;double;84;60001;10196353024
graphNativeFullDense;71;double;66;60001;11249123328
graphNativeFullDense;72;double;4434;60001;2614395056
graphNativeFullDense;73;double;14;60561;6786383872
graphNativeFullDense;74;double;0;62589;10804527104
graphNativeFullDense;75;double;0;60001;9130999808
graphNativeFullDense;76;double;5;61498;10791944192
graphNativeFullDense;77;double;0;60001;4408213504
graphNativeFullDense;78;double;0;61203;10787749888
graphNativeFullDense;79;double;0;61740;10804527104
graphNativeFullDense;80;double;0;60001;7126122496
graphNativeFullDense;81;double;0;60027;10775166976
graphNativeFullDense;82;double;53;61053;7642021888
graphNativeFullDense;83;double;2;61758;10812915712
graphNativeFullDense;84;double;190;60205;1568669696
graphNativeFullDense;85;double;41;61426;10791944192
graphNativeFullDense;86;double;0;61394;10808721408
graphNativeFullDense;87;double;30;62119;10846470144
graphNativeFullDense;88;double;99;60001;8048869376
graphNativeFullDense;89;double;0;60332;10821304320
graphNativeFullDense;90;double;70;60001;10590617600
graphNativeFullDense;91;double;133;60358;9990832128
graphNativeFullDense;92;double;4;60001;10506731520
graphNativeFullDense;93;double;53;60001;4269801472
graphNativeFullDense;94;double;0;60001;10825498624
graphNativeFullDense;95;double;7;61192;8950644736
graphNativeFullDense;96;double;0;60798;11312037888
graphNativeFullDense;97;double;0;61393;11312037888
graphNativeFullDense;98;double;81;60001;9504292864
graphNativeFullDense;99;double;0;61423;9332326400
