Estructura;ID;Aristas;Tiempo;Memoria
graphNativeFullDense;0;0;60001;12104761344
graphNativeFullDense;1;0;60232;10569646080
graphNativeFullDense;2;4;60001;14508097536
graphNativeFullDense;3;0;61700;10808721408
graphNativeFullDense;4;0;61112;10796138496
graphNativeFullDense;5;0;60001;8191475712
graphNativeFullDense;6;0;60001;14621343744
graphNativeFullDense;7;0;60001;12050235392
graphNativeFullDense;8;0;61864;10800332800
graphNativeFullDense;9;0;60001;12004098048
graphNativeFullDense;10;0;61998;10796138496
graphNativeFullDense;11;0;62560;10800332800
graphNativeFullDense;12;0;60001;9768534016
graphNativeFullDense;13;0;60001;6471811072
graphNativeFullDense;14;0;60397;10817110016
graphNativeFullDense;15;0;62120;10791944192
graphNativeFullDense;16;0;61921;10804527104
graphNativeFullDense;17;0;60369;10833887232
graphNativeFullDense;18;0;60001;12155092992
graphNativeFullDense;19;0;60001;10661920768
graphNativeFullDense;20;0;60881;10796138496
graphNativeFullDense;21;0;60001;13048479744
graphNativeFullDense;22;0;61190;10791944192
graphNativeFullDense;23;0;60569;11567890432
graphNativeFullDense;24;0;60001;6174015488
graphNativeFullDense;25;0;60001;12121538560
graphNativeFullDense;26;0;60001;12209618944
graphNativeFullDense;27;0;60001;12096372736
graphNativeFullDense;28;0;60001;7155482624
graphNativeFullDense;29;0;61174;8984199168
graphNativeFullDense;30;0;60001;5767168000
graphNativeFullDense;31;0;61285;10800332800
graphNativeFullDense;32;3;60001;12373196800
graphNativeFullDense;33;0;61207;11517558784
graphNativeFullDense;34;0;60001;7696547840
graphNativeFullDense;35;0;61752;10812915712
graphNativeFullDense;36;0;61368;10812915712
graphNativeFullDense;37;0;60001;10649337856
graphNativeFullDense;38;0;60001;11383341056
graphNativeFullDense;39;0;61289;10821304320
graphNativeFullDense;40;0;61164;10791944192
graphNativeFullDense;41;0;61557;10804527104
graphNativeFullDense;42;0;60001;12046041088
graphNativeFullDense;43;0;61335;10804527104
graphNativeFullDense;44;0;62136;10808721408
graphNativeFullDense;45;0;61941;10800332800
graphNativeFullDense;46;0;60001;11374952448
graphNativeFullDense;47;0;61130;10838081536
graphNativeFullDense;48;0;60001;12071206912
graphNativeFullDense;49;0;60001;9130999808
graphNativeFullDense;50;0;61231;10787749888
graphNativeFullDense;51;0;60001;9328132096
graphNativeFullDense;52;0;60001;8296333312
graphNativeFullDense;53;0;60001;8870952960
graphNativeFullDense;54;0;61548;10804527104
graphNativeFullDense;55;1;60001;5695864832
graphNativeFullDense;56;0;60763;10800332800
graphNativeFullDense;57;0;61670;10842275840
graphNativeFullDense;58;0;61848;10817110016
graphNativeFullDense;59;0;60170;10804527104
graphNativeFullDense;60;0;60172;10800332800
graphNativeFullDense;61;0;61104;10808721408
graphNativeFullDense;62;0;60697;10804527104
graphNativeFullDense;63;1;60001;11358175232
graphNativeFullDense;64;0;60650;10800332800
graphNativeFullDense;65;0;60663;10812915712
graphNativeFullDense;66;24;60001;11865686016
graphNativeFullDense;67;0;61372;10804527104
graphNativeFullDense;68;0;61875;10791944192
graphNativeFullDense;69;0;61246;10821304320
graphNativeFullDense;70;0;60001;10934550528
graphNativeFullDense;71;0;60001;10569646080
graphNativeFullDense;72;0;60001;12935233536
graphNativeFullDense;73;0;60001;11844714496
graphNativeFullDense;74;0;61902;10796138496
graphNativeFullDense;75;0;60001;11634999296
graphNativeFullDense;76;0;60001;7964983296
graphNativeFullDense;77;0;60637;10817110016
graphNativeFullDense;78;0;61007;10842275840
graphNativeFullDense;79;0;60128;10821304320
graphNativeFullDense;80;0;60001;6824132608
graphNativeFullDense;81;0;60001;10519314432
graphNativeFullDense;82;0;61440;10812915712
graphNativeFullDense;83;0;60001;12910067712
graphNativeFullDense;84;2;60001;12163481600
graphNativeFullDense;85;0;60894;10804527104
graphNativeFullDense;86;2;60001;13568573440
graphNativeFullDense;87;0;60001;11983126528
graphNativeFullDense;88;0;60001;12650020864
graphNativeFullDense;89;0;62067;10804527104
graphNativeFullDense;90;0;60001;7759462400
graphNativeFullDense;91;0;60001;10074718208
graphNativeFullDense;92;0;60001;12100567040
graphNativeFullDense;93;0;60001;11198791680
graphNativeFullDense;94;0;61566;10800332800
graphNativeFullDense;95;0;60992;10804527104
graphNativeFullDense;96;0;60001;12117344256
graphNativeFullDense;97;0;60971;10800332800
graphNativeFullDense;98;0;61741;10783555584
graphNativeFullDense;99;1;60001;8912896000
