Estructura;ID;Grupos;Aristas;Tiempo;Memoria
graphNativeFullDense;0;penta;35;60001;9684647936
graphNativeFullDense;1;penta;0;60052;10561257472
graphNativeFullDense;2;penta;140706;60001;961735792
graphNativeFullDense;3;penta;138;60588;1584958720
graphNativeFullDense;4;penta;152;60001;7226785792
graphNativeFullDense;5;penta;13;60006;7822376960
graphNativeFullDense;6;penta;77;60001;10510925824
graphNativeFullDense;7;penta;57;60773;7704936448
graphNativeFullDense;8;penta;2123;60003;6748635136
graphNativeFullDense;9;penta;30;60001;11110711296
graphNativeFullDense;10;penta;98;60240;3841982464
graphNativeFullDense;11;penta;4145;61199;5586812928
graphNativeFullDense;12;penta;3045670;60001;6887047168
graphNativeFullDense;13;penta;784;60001;7558135808
graphNativeFullDense;14;penta;119;60001;10053746688
graphNativeFullDense;15;penta;29;60558;4362076160
graphNativeFullDense;16;penta;69;60444;9135194112
graphNativeFullDense;17;penta;162;60001;8610906112
graphNativeFullDense;18;penta;160;60001;6417285120
graphNativeFullDense;19;penta;10273;60001;4211081216
graphNativeFullDense;20;penta;71;60001;8380219392
graphNativeFullDense;21;penta;3268;60001;5058330624
graphNativeFullDense;22;penta;77;60001;8766095360
graphNativeFullDense;23;penta;8;60001;9600761856
graphNativeFullDense;24;penta;218;60001;6740246528
graphNativeFullDense;25;penta;129;60247;7113539584
graphNativeFullDense;26;penta;156;60266;5901385728
graphNativeFullDense;27;penta;64;60538;9294577664
graphNativeFullDense;28;penta;60;61063;7801405440
graphNativeFullDense;29;penta;238;60001;5205131264
graphNativeFullDense;30;penta;46;60889;9793699840
graphNativeFullDense;31;penta;34;60001;8334082048
graphNativeFullDense;32;penta;2308;61158;10338959360
graphNativeFullDense;33;penta;2333;60410;3896508416
graphNativeFullDense;34;penta;1936;60083;914358272
graphNativeFullDense;35;penta;204;60058;8036286464
graphNativeFullDense;36;penta;186;60018;2508193792
graphNativeFullDense;37;penta;198;60001;6828326912
graphNativeFullDense;38;penta;112;60260;3695181824
graphNativeFullDense;39;penta;453;60352;5838471168
graphNativeFullDense;40;penta;131;60207;4756340736
graphNativeFullDense;41;penta;73;60001;6782189568
graphNativeFullDense;42;penta;290;60490;2499805184
graphNativeFullDense;43;penta;1609;60022;453495424
graphNativeFullDense;44;penta;1406;60058;1193566136
graphNativeFullDense;45;penta;2621;60044;4521459712
graphNativeFullDense;46;penta;33;60598;3934257152
graphNativeFullDense;47;penta;89;61161;3821010944
graphNativeFullDense;48;penta;52;60483;8229224448
graphNativeFullDense;49;penta;140;60001;11261706240
graphNativeFullDense;50;penta;2380;60600;8279556096
graphNativeFullDense;51;penta;103;60235;6845104128
graphNativeFullDense;52;penta;99;60345;8174698496
graphNativeFullDense;53;penta;158;60001;10259267584
graphNativeFullDense;54;penta;126;60995;5221908480
graphNativeFullDense;55;penta;110;60001;8527020032
graphNativeFullDense;56;penta;54;61013;9806282752
graphNativeFullDense;57;penta;13;60001;9630121984
graphNativeFullDense;58;penta;11;60206;8027897856
graphNativeFullDense;59;penta;97;60001;10246684672
graphNativeFullDense;60;penta;96;60221;8204058624
graphNativeFullDense;61;penta;85;60009;8187281408
graphNativeFullDense;62;penta;10665;60001;8845787136
graphNativeFullDense;63;penta;1128;60474;4336910336
graphNativeFullDense;64;penta;178;60001;7671382016
graphNativeFullDense;65;penta;2038;60606;2600468480
graphNativeFullDense;66;penta;147;60226;7025459200
graphNativeFullDense;67;penta;209;60408;3686793216
graphNativeFullDense;68;penta;98;60001;9261023232
graphNativeFullDense;69;penta;235;60310;1325400064
graphNativeFullDense;70;penta;100;60001;5662310400
graphNativeFullDense;71;penta;1355;60716;8136949760
graphNativeFullDense;72;penta;452;60269;3892314112
graphNativeFullDense;73;penta;116;61145;6933184512
graphNativeFullDense;74;penta;101;60055;8266973184
graphNativeFullDense;75;penta;129;60741;3871342592
graphNativeFullDense;76;penta;24;61087;9000976384
graphNativeFullDense;77;penta;0;61825;10808721408
graphNativeFullDense;78;penta;17;60077;7159676928
graphNativeFullDense;79;penta;88;60001;9944694784
graphNativeFullDense;80;penta;66;60246;10573840384
graphNativeFullDense;81;penta;94;60267;8476688384
graphNativeFullDense;82;penta;126;60467;3212836864
graphNativeFullDense;83;penta;2344;60277;3627082752
graphNativeFullDense;84;penta;194;60012;1581252608
graphNativeFullDense;85;penta;20811;60001;2365587456
graphNativeFullDense;86;penta;57;62030;10569646080
graphNativeFullDense;87;penta;2;60001;9810477056
graphNativeFullDense;88;penta;22;60351;4219469824
graphNativeFullDense;89;penta;123;60002;8225030144
graphNativeFullDense;90;penta;107;60001;10208935936
graphNativeFullDense;91;penta;25;60001;11056185344
graphNativeFullDense;92;penta;135;60392;1845493760
graphNativeFullDense;93;penta;52;61102;4249187840
graphNativeFullDense;94;penta;108;61077;7532969984
graphNativeFullDense;95;penta;96;60325;8292139008
graphNativeFullDense;96;penta;2844;60011;9227468800
graphNativeFullDense;97;penta;122;60345;5653921792
graphNativeFullDense;98;penta;66;60273;7201619968
graphNativeFullDense;99;penta;67761;60001;4055891968
