Estructura;ID;Grupos;Aristas;Tiempo;Memoria
graphNativeFullDense;0;triple;0;60001;10045358080
graphNativeFullDense;1;triple;4031;60001;11119099904
graphNativeFullDense;2;triple;77;60001;13098811392
graphNativeFullDense;3;triple;33;60974;3825205248
graphNativeFullDense;4;triple;3;60001;9533652992
graphNativeFullDense;5;triple;0;60001;6492782592
graphNativeFullDense;6;triple;96;60001;10028580864
graphNativeFullDense;7;triple;135;60001;10305404928
graphNativeFullDense;8;triple;96;60336;8174698496
graphNativeFullDense;9;triple;20;60001;10435428352
graphNativeFullDense;10;triple;33;60176;3812622336
graphNativeFullDense;11;triple;5453;60001;6215958528
graphNativeFullDense;12;triple;0;62509;10796138496
graphNativeFullDense;13;triple;19;60001;11127488512
graphNativeFullDense;14;triple;138;60703;6513754112
graphNativeFullDense;15;triple;15;60001;11039408128
graphNativeFullDense;16;triple;8;61184;8988393472
graphNativeFullDense;17;triple;12;60976;8262778880
graphNativeFullDense;18;triple;121;60568;2520776704
graphNativeFullDense;19;triple;84;60001;7696547840
graphNativeFullDense;20;triple;70;60001;9361686528
graphNativeFullDense;21;triple;5827;60001;3917479936
graphNativeFullDense;22;triple;3;60001;8665432064
graphNativeFullDense;23;triple;93;60066;9323937792
graphNativeFullDense;24;triple;152;61110;7520387072
graphNativeFullDense;25;triple;603;60001;10976493568
graphNativeFullDense;26;triple;9917;60001;10540285952
graphNativeFullDense;27;triple;99;60001;8883535872
graphNativeFullDense;28;triple;65;60001;10024386560
graphNativeFullDense;29;triple;3421;60111;5687476224
graphNativeFullDense;30;triple;0;60001;10762584064
graphNativeFullDense;31;triple;3;60001;9609150464
graphNativeFullDense;32;triple;5;60001;8275361792
graphNativeFullDense;33;triple;101;60535;11437867008
graphNativeFullDense;34;triple;19089;60001;4349493248
graphNativeFullDense;35;triple;162;60001;11509170176
graphNativeFullDense;36;triple;426691;60009;4848615424
graphNativeFullDense;37;triple;69;60001;10112466944
graphNativeFullDense;38;triple;2004;60103;1673527296
graphNativeFullDense;39;triple;95;60061;3790150144
graphNativeFullDense;40;triple;85;60001;9722396672
graphNativeFullDense;41;triple;15;60001;6853492736
graphNativeFullDense;42;triple;76;61134;8401190912
graphNativeFullDense;43;triple;4;60982;9177137152
graphNativeFullDense;44;triple;8297;60001;2063597568
graphNativeFullDense;45;triple;3534;60005;1199570944
graphNativeFullDense;46;triple;580;60231;4011164160
graphNativeFullDense;47;triple;73;60001;9487515648
graphNativeFullDense;48;triple;428;60001;5867831296
graphNativeFullDense;49;triple;81;60001;9047113728
graphNativeFullDense;50;triple;11;60659;8032092160
graphNativeFullDense;51;triple;1191;60001;5830082560
graphNativeFullDense;52;triple;0;60001;12054429696
graphNativeFullDense;53;triple;18;60001;10410262528
graphNativeFullDense;54;triple;71;60381;5704253440
graphNativeFullDense;55;triple;1707;60001;5746196480
graphNativeFullDense;56;triple;0;60001;10045358080
graphNativeFullDense;57;triple;256090;60413;10397679616
graphNativeFullDense;58;triple;0;60001;10427039744
graphNativeFullDense;59;triple;29;60530;8057257984
graphNativeFullDense;60;triple;115;60918;7721713664
graphNativeFullDense;61;triple;77;60001;7713325056
graphNativeFullDense;62;triple;4;60001;7667187712
graphNativeFullDense;63;triple;103;60001;10779361280
graphNativeFullDense;64;triple;69;60001;9089056768
graphNativeFullDense;65;triple;119;60599;5595201536
graphNativeFullDense;66;triple;1456;60001;12482248704
graphNativeFullDense;67;triple;83;60001;8388608000
graphNativeFullDense;68;triple;58;60001;9042919424
graphNativeFullDense;69;triple;81;60211;6148849664
graphNativeFullDense;70;triple;96;60001;10443816960
graphNativeFullDense;71;triple;5;60001;10217324544
graphNativeFullDense;72;triple;0;60001;10573840384
graphNativeFullDense;73;triple;10;60252;6597640192
graphNativeFullDense;74;triple;0;60014;9491709952
graphNativeFullDense;75;triple;129;60001;12360613888
graphNativeFullDense;76;triple;9;62381;9391046656
graphNativeFullDense;77;triple;0;60001;8690597888
graphNativeFullDense;78;triple;98;60024;6245318656
graphNativeFullDense;79;triple;0;60001;6874464256
graphNativeFullDense;80;triple;0;61016;10800332800
graphNativeFullDense;81;triple;0;61620;10812915712
graphNativeFullDense;82;triple;103;60458;7465861120
graphNativeFullDense;83;triple;2;60001;8753512448
graphNativeFullDense;84;triple;176;60231;2357198848
graphNativeFullDense;85;triple;54;60001;10187964416
graphNativeFullDense;86;triple;3;62050;8149532672
graphNativeFullDense;87;triple;1315589;60006;4477862912
graphNativeFullDense;88;triple;550;60147;10062135296
graphNativeFullDense;89;triple;57;60001;10141827072
graphNativeFullDense;90;triple;112;60314;6954156032
graphNativeFullDense;91;triple;130;60001;9701425152
graphNativeFullDense;92;triple;3637;60001;585882032
graphNativeFullDense;93;triple;75;60573;4287561216
graphNativeFullDense;94;triple;13;60363;7407140864
graphNativeFullDense;95;triple;17;60001;7570718720
graphNativeFullDense;96;triple;44;61162;8019509248
graphNativeFullDense;97;triple;86;60001;9848225792
graphNativeFullDense;98;triple;1834;60001;7205814272
graphNativeFullDense;99;triple;10;60001;11240734720
