Estructura;ID;Grupos;Aristas;Tiempo;Memoria
graphNativeFull;0;cuadra;2;60001;10582228992
graphNativeFull;1;cuadra;2270;60001;11110711296
graphNativeFull;2;cuadra;91;60001;13505658880
graphNativeFull;3;cuadra;67;60418;3833593856
graphNativeFull;4;cuadra;99;60397;9789505536
graphNativeFull;5;cuadra;11;61479;8027897856
graphNativeFull;6;cuadra;92;61220;5528092672
graphNativeFull;7;cuadra;53;60001;8208252928
graphNativeFull;8;cuadra;2061;60285;6031409152
graphNativeFull;9;cuadra;51;60001;10544480256
graphNativeFull;10;cuadra;2151;60195;2042626048
graphNativeFull;11;cuadra;6486;60002;5859442688
graphNativeFull;12;cuadra;2304;61455;10435428352
graphNativeFull;13;cuadra;70;60687;10196353024
graphNativeFull;14;cuadra;112;60464;6442450944
graphNativeFull;15;cuadra;814;60005;10573840384
graphNativeFull;16;cuadra;59;60750;8959033344
graphNativeFull;17;cuadra;124;60498;8292139008
graphNativeFull;18;cuadra;40037;60061;2411724800
graphNativeFull;19;cuadra;78;60615;4387241984
graphNativeFull;20;cuadra;79;60322;8225030144
graphNativeFull;21;cuadra;459;60788;5330960384
graphNativeFull;22;cuadra;83;60603;9642704896
graphNativeFull;23;cuadra;8;61258;10057940992
graphNativeFull;24;cuadra;198;61087;7574913024
graphNativeFull;25;cuadra;110;60383;4215275520
graphNativeFull;26;cuadra;5561;60009;8178892800
graphNativeFull;27;cuadra;1342;60001;4580179968
graphNativeFull;28;cuadra;203;60233;1249902592
graphNativeFull;29;cuadra;1246;60001;9927917568
graphNativeFull;30;cuadra;4;60001;8095006720
graphNativeFull;31;cuadra;132;60001;10376708096
graphNativeFull;32;cuadra;2025;60001;10397679616
graphNativeFull;33;cuadra;131;60214;3724541952
graphNativeFull;34;cuadra;128;60626;1665138688
graphNativeFull;35;cuadra;172;60001;11869880320
graphNativeFull;36;cuadra;19;60255;4903141376
graphNativeFull;37;cuadra;93;60556;7163871232
graphNativeFull;38;cuadra;132;60652;1665138688
graphNativeFull;39;cuadra;184;60211;5427429376
graphNativeFull;40;cuadra;1101255;60001;6304038912
graphNativeFull;41;cuadra;14;60001;10204741632
graphNativeFull;42;cuadra;773;60001;10645143552
graphNativeFull;43;cuadra;92;60929;9160359936
graphNativeFull;44;cuadra;110;61412;8019509248
graphNativeFull;45;cuadra;3060;60010;1551892480
graphNativeFull;46;cuadra;31;60669;3780423168
graphNativeFull;47;cuadra;2262;60917;9168748544
graphNativeFull;48;cuadra;90;60799;8279556096
graphNativeFull;49;cuadra;27;60001;11026825216
graphNativeFull;50;cuadra;2337;60001;5419040768
graphNativeFull;51;cuadra;101;61646;8027897856
graphNativeFull;52;cuadra;37;60001;10578034688
graphNativeFull;53;cuadra;140;60001;10238296064
graphNativeFull;54;cuadra;70;60263;5867831296
graphNativeFull;55;cuadra;1691;60001;4760535040
graphNativeFull;56;cuadra;2384;60001;1913018272
graphNativeFull;57;cuadra;90;60001;9357492224
graphNativeFull;58;cuadra;10;61058;8027897856
graphNativeFull;59;cuadra;17;60001;8225030144
graphNativeFull;60;cuadra;98;61361;7709130752
graphNativeFull;61;cuadra;68;60001;7579107328
graphNativeFull;62;cuadra;75;60001;10720641024
graphNativeFull;63;cuadra;3269;60001;6496976896
graphNativeFull;64;cuadra;86;60967;7583301632
graphNativeFull;65;cuadra;300;60001;10166992896
graphNativeFull;66;cuadra;104;60001;8455716864
graphNativeFull;67;cuadra;32969;61335;8023703552
graphNativeFull;68;cuadra;104;60001;7654604800
graphNativeFull;69;cuadra;103;60001;6635388928
graphNativeFull;70;cuadra;95;60001;5943328768
graphNativeFull;71;cuadra;1337;60001;8141144064
graphNativeFull;72;cuadra;195489;60001;3887453856
graphNativeFull;73;cuadra;110;60275;7151288320
graphNativeFull;74;cuadra;114;60336;6794772480
graphNativeFull;75;cuadra;38570;60001;1100773968
graphNativeFull;76;cuadra;19;61709;9286189056
graphNativeFull;77;cuadra;0;60001;9172942848
graphNativeFull;78;cuadra;71;60750;7172259840
graphNativeFull;79;cuadra;69;60001;9844031488
graphNativeFull;80;cuadra;50;60149;10578034688
graphNativeFull;81;cuadra;2;60001;10024386560
graphNativeFull;82;cuadra;13;60001;7289700352
graphNativeFull;83;cuadra;2262;60227;3221225472
graphNativeFull;84;cuadra;185;60278;1677721600
graphNativeFull;85;cuadra;88;60245;6446645248
graphNativeFull;86;cuadra;127;60001;10397679616
graphNativeFull;87;cuadra;2;60001;9890168832
graphNativeFull;88;cuadra;614;60001;9688842240
graphNativeFull;89;cuadra;82;60995;10250878976
graphNativeFull;90;cuadra;64;60001;10401873920
graphNativeFull;91;cuadra;128;60033;6446645248
graphNativeFull;92;cuadra;96;61336;7520387072
graphNativeFull;93;cuadra;882;60492;4844421120
graphNativeFull;94;cuadra;105;60001;7713325056
graphNativeFull;95;cuadra;14;60001;6476005376
graphNativeFull;96;cuadra;82;60001;8262778880
graphNativeFull;97;cuadra;113;60527;3057647616
graphNativeFull;98;cuadra;41;60001;7163871232
graphNativeFull;99;cuadra;68;60001;10376708096
