Estructura;ID;Grupos;Aristas;Tiempo;Memoria
graphNativeFull;0;double;2787;60001;12029263872
graphNativeFull;1;double;362079;60001;13027508224
graphNativeFull;2;double;144;60777;8388608000
graphNativeFull;3;double;15616;60001;11957960704
graphNativeFull;4;double;0;62378;10804527104
graphNativeFull;5;double;0;60001;9755951104
graphNativeFull;6;double;92;61343;10796138496
graphNativeFull;7;double;42;61726;10804527104
graphNativeFull;8;double;15;61221;10791944192
graphNativeFull;9;double;0;60001;10745806848
graphNativeFull;10;double;1581;60001;11907629056
graphNativeFull;11;double;89;60969;10791944192
graphNativeFull;12;double;0;60001;5721030656
graphNativeFull;13;double;35;60001;11127488512
graphNativeFull;14;double;184;61889;10817110016
graphNativeFull;15;double;0;60776;10796138496
graphNativeFull;16;double;0;60001;10578034688
graphNativeFull;17;double;156;60001;12167675904
graphNativeFull;18;double;162;61535;10804527104
graphNativeFull;19;double;0;61650;10808721408
graphNativeFull;20;double;0;61862;10800332800
graphNativeFull;21;double;4713;60001;7650410496
graphNativeFull;22;double;29651;60001;5632950272
graphNativeFull;23;double;0;61648;10800332800
graphNativeFull;24;double;151;60001;10703863808
graphNativeFull;25;double;1886;60001;4987027456
graphNativeFull;26;double;0;60481;10804527104
graphNativeFull;27;double;48;60001;10846470144
graphNativeFull;28;double;26;61066;10808721408
graphNativeFull;29;double;41;61397;10812915712
graphNativeFull;30;double;213;60001;11953766400
graphNativeFull;31;double;0;60001;10619977728
graphNativeFull;32;double;30;60001;6832521216
graphNativeFull;33;double;11110;60001;12008292352
graphNativeFull;34;double;65;60976;10808721408
graphNativeFull;35;double;159;60001;12125732864
graphNativeFull;36;double;833;60001;8661237760
graphNativeFull;37;double;68;60208;10791944192
graphNativeFull;38;double;720;61860;10804527104
graphNativeFull;39;double;28045;60001;12201230336
graphNativeFull;40;double;3;61875;10808721408
graphNativeFull;41;double;52;61426;10808721408
graphNativeFull;42;double;60;62483;10800332800
graphNativeFull;43;double;5623;60520;11031019520
graphNativeFull;44;double;399;60001;10812915712
graphNativeFull;45;double;133;62718;10800332800
graphNativeFull;46;double;1322;60001;7724840960
graphNativeFull;47;double;59;60756;10787749888
graphNativeFull;48;double;30;60001;9634316288
graphNativeFull;49;double;95;60421;10804527104
graphNativeFull;50;double;380;60001;12905873408
graphNativeFull;51;double;1186;60001;9210691584
graphNativeFull;52;double;0;60643;8350859264
graphNativeFull;53;double;0;61334;10800332800
graphNativeFull;54;double;3327;70148;13484687360
graphNativeFull;55;double;23;60013;9877585920
graphNativeFull;56;double;0;61953;10808721408
graphNativeFull;57;double;255864;60001;2236731992
graphNativeFull;58;double;0;60001;8849981440
graphNativeFull;59;double;0;60155;9655287808
graphNativeFull;60;double;1720;60001;9227468800
graphNativeFull;61;double;7;60820;10800332800
graphNativeFull;62;double;4;61672;10804527104
graphNativeFull;63;double;92;61901;10796138496
graphNativeFull;64;double;0;60001;6811549696
graphNativeFull;65;double;37297;60022;1687994144
graphNativeFull;66;double;1456;60001;12394168320
graphNativeFull;67;double;0;61467;10804527104
graphNativeFull;68;double;57;61801;10808721408
graphNativeFull;69;double;19309;60001;11450689920
graphNativeFull;70;double;77;60568;10787749888
graphNativeFull;71;double;66;60001;12104761344
graphNativeFull;72;double;4436;60001;3080230176
graphNativeFull;73;double;91;62526;10829692928
graphNativeFull;74;double;0;60972;10796138496
graphNativeFull;75;double;0;60001;9168748544
graphNativeFull;76;double;5;61152;10812915712
graphNativeFull;77;double;0;60003;4592762880
graphNativeFull;78;double;0;61013;10808721408
graphNativeFull;79;double;0;60620;10817110016
graphNativeFull;80;double;0;60001;7218397184
graphNativeFull;81;double;0;60001;10611589120
graphNativeFull;82;double;454;60113;10796138496
graphNativeFull;83;double;2;61387;10808721408
graphNativeFull;84;double;37863;60001;9781116928
graphNativeFull;85;double;41;61643;10791944192
graphNativeFull;86;double;0;60720;10812915712
graphNativeFull;87;double;30;61505;10842275840
graphNativeFull;88;double;99;60001;8426356736
graphNativeFull;89;double;0;60355;10812915712
graphNativeFull;90;double;69;60001;10712252416
graphNativeFull;91;double;132;61467;10804527104
graphNativeFull;92;double;8;61287;10804527104
graphNativeFull;93;double;87655;60708;8837398528
graphNativeFull;94;double;0;60986;10796138496
graphNativeFull;95;double;13;62829;10808721408
graphNativeFull;96;double;0;62156;10804527104
graphNativeFull;97;double;0;60411;10796138496
graphNativeFull;98;double;80;61010;10796138496
graphNativeFull;99;double;0;61492;9340715008
