Estructura;ID;Aristas;Tiempo;Memoria
graphNativeFull;0;2939;60001;12335448064
graphNativeFull;1;2;60711;10578034688
graphNativeFull;2;684;60001;14680064000
graphNativeFull;3;3;60001;10057940992
graphNativeFull;4;0;61602;10791944192
graphNativeFull;5;144;60148;8518631424
graphNativeFull;6;11;60001;14902362112
graphNativeFull;7;124135;60001;12092178432
graphNativeFull;8;1020;61273;10804527104
graphNativeFull;9;45;60001;12054429696
graphNativeFull;10;0;60692;10808721408
graphNativeFull;11;0;62228;10808721408
graphNativeFull;12;0;60001;9760145408
graphNativeFull;13;0;60001;6471811072
graphNativeFull;14;4;61001;10808721408
graphNativeFull;15;92;61539;10804527104
graphNativeFull;16;0;60997;10812915712
graphNativeFull;17;0;60538;10825498624
graphNativeFull;18;99;60001;12100567040
graphNativeFull;19;21;60001;10305404928
graphNativeFull;20;15;60936;10821304320
graphNativeFull;21;9861;60001;13103005696
graphNativeFull;22;0;61007;10800332800
graphNativeFull;23;11;60001;11207180288
graphNativeFull;24;0;60108;5880414208
graphNativeFull;25;1581;60001;12054429696
graphNativeFull;26;16850;60001;12092178432
graphNativeFull;27;120;60001;12050235392
graphNativeFull;28;5430;60267;7025459200
graphNativeFull;29;409;60001;8984199168
graphNativeFull;30;0;60001;5800722432
graphNativeFull;31;2305;61468;10804527104
graphNativeFull;32;25;60001;12243173376
graphNativeFull;33;4;61159;11546918912
graphNativeFull;34;0;60001;7876902912
graphNativeFull;35;184;61779;10804527104
graphNativeFull;36;99;60837;10808721408
graphNativeFull;37;18;60001;10406068224
graphNativeFull;38;5;60001;11148460032
graphNativeFull;39;6837;60899;10817110016
graphNativeFull;40;0;61560;10804527104
graphNativeFull;41;45;60525;10800332800
graphNativeFull;42;30;60001;12150898688
graphNativeFull;43;4;61243;10804527104
graphNativeFull;44;139;61202;10812915712
graphNativeFull;45;162;62052;10787749888
graphNativeFull;46;39938;60001;11408506880
graphNativeFull;47;0;60001;10938744832
graphNativeFull;48;256;60001;12046041088
graphNativeFull;49;9794;60001;9084862464
graphNativeFull;50;0;60805;10812915712
graphNativeFull;51;0;60001;9873391616
graphNativeFull;52;0;60001;9013559296
graphNativeFull;53;237682;60448;8698986496
graphNativeFull;54;78;61605;10804527104
graphNativeFull;55;29651;60001;5905580032
graphNativeFull;56;80;61619;10791944192
graphNativeFull;57;0;61241;10854858752
graphNativeFull;58;99;62255;10796138496
graphNativeFull;59;2;60197;10800332800
graphNativeFull;60;151;61116;10817110016
graphNativeFull;61;0;61781;10808721408
graphNativeFull;62;3;60001;10909384704
graphNativeFull;63;10;60001;11475615744
graphNativeFull;64;124;60979;10808721408
graphNativeFull;65;0;60352;10800332800
graphNativeFull;66;2484523;60001;11970543616
graphNativeFull;67;0;60001;10993270784
graphNativeFull;68;0;62490;10812915712
graphNativeFull;69;4;61699;10800332800
graphNativeFull;70;26;60001;11060379648
graphNativeFull;71;346;60001;10460594176
graphNativeFull;72;166;60001;12830375936
graphNativeFull;73;3515;60001;11265592992
graphNativeFull;74;5;62043;10787749888
graphNativeFull;75;213;60001;11827937280
graphNativeFull;76;0;60001;8074035200
graphNativeFull;77;687;60001;10720641024
graphNativeFull;78;3;61271;10833887232
graphNativeFull;79;32;60856;10812915712
graphNativeFull;80;30;60001;6819938304
graphNativeFull;81;1992;60001;10628366336
graphNativeFull;82;0;60958;10800332800
graphNativeFull;83;1870;60001;12968787968
graphNativeFull;84;8082;60001;12465471488
graphNativeFull;85;65;60276;10800332800
graphNativeFull;86;64522;60001;13715374080
graphNativeFull;87;746;60001;12117344256
graphNativeFull;88;0;60001;12754878464
graphNativeFull;89;0;61173;10804527104
graphNativeFull;90;833;60001;8594128896
graphNativeFull;91;2299;60001;10309599232
graphNativeFull;92;48;60001;12108955648
graphNativeFull;93;0;60273;10829692928
graphNativeFull;94;175;60286;10796138496
graphNativeFull;95;720;61786;10808721408
graphNativeFull;96;8176;60001;12075401216
graphNativeFull;97;82;60654;10796138496
graphNativeFull;98;10230;60167;10775166976
graphNativeFull;99;289;60305;8904507392
