Estructura;ID;Grupos;Aristas;Tiempo;Memoria
graphNativeFull;0;penta;33;60001;10007609344
graphNativeFull;1;penta;0;60001;10926161920
graphNativeFull;2;penta;139460;60001;3917479936
graphNativeFull;3;penta;126;60216;1576640216
graphNativeFull;4;penta;147;60001;6597640192
graphNativeFull;5;penta;13;61336;7826571264
graphNativeFull;6;penta;77;60001;10557063168
graphNativeFull;7;penta;54;60028;7696547840
graphNativeFull;8;penta;2066;60088;6660554752
graphNativeFull;9;penta;30;60001;11270094848
graphNativeFull;10;penta;95;60263;3837788160
graphNativeFull;11;penta;4117;60223;5544869888
graphNativeFull;12;penta;3205612;60001;5771362304
graphNativeFull;13;penta;784;60001;8111783936
graphNativeFull;14;penta;116;60001;10133438464
graphNativeFull;15;penta;31;61210;4366270464
graphNativeFull;16;penta;73;60001;9223274496
graphNativeFull;17;penta;160;60402;8287944704
graphNativeFull;18;penta;159;60071;6199181312
graphNativeFull;19;penta;9803;60001;4169138176
graphNativeFull;20;penta;69;60001;8539602944
graphNativeFull;21;penta;3258;60001;5062524928
graphNativeFull;22;penta;76;60001;8698986496
graphNativeFull;23;penta;7;61195;10049552384
graphNativeFull;24;penta;216;60001;6777995264
graphNativeFull;25;penta;128;61197;7218397184
graphNativeFull;26;penta;152;60317;5897191424
graphNativeFull;27;penta;62;60794;9286189056
graphNativeFull;28;penta;59;60251;7805599744
graphNativeFull;29;penta;236;60001;5800722432
graphNativeFull;30;penta;46;60001;10401873920
graphNativeFull;31;penta;34;60001;8153726976
graphNativeFull;32;penta;2281;60001;10464788480
graphNativeFull;33;penta;2304;60001;3875536896
graphNativeFull;34;penta;1924;60080;985661440
graphNativeFull;35;penta;202;61253;8044675072
graphNativeFull;36;penta;190;60029;2759852032
graphNativeFull;37;penta;196;60748;6870269952
graphNativeFull;38;penta;107;60966;3690987520
graphNativeFull;39;penta;451;60001;6018826240
graphNativeFull;40;penta;131;60326;4722786304
graphNativeFull;41;penta;73;60001;6534725632
graphNativeFull;42;penta;279;60018;2503999488
graphNativeFull;43;penta;1598;60069;449271216
graphNativeFull;44;penta;1398;60072;1182793728
graphNativeFull;45;penta;2518;60574;4559208448
graphNativeFull;46;penta;33;60137;3934257152
graphNativeFull;47;penta;88;60988;3674210304
graphNativeFull;48;penta;51;60001;7713325056
graphNativeFull;49;penta;139;60184;11374952448
graphNativeFull;50;penta;2301;60433;8111783936
graphNativeFull;51;penta;101;61127;6962544640
graphNativeFull;52;penta;98;60458;8040480768
graphNativeFull;53;penta;157;60001;10204741632
graphNativeFull;54;penta;124;61002;5217714176
graphNativeFull;55;penta;109;60001;8485076992
graphNativeFull;56;penta;53;60001;9374269440
graphNativeFull;57;penta;12;60001;8380219392
graphNativeFull;58;penta;10;60001;7415529472
graphNativeFull;59;penta;67;63255;10091495424
graphNativeFull;60;penta;94;60416;7952400384
graphNativeFull;61;penta;85;60286;8136949760
graphNativeFull;62;penta;10642;60001;8724152320
graphNativeFull;63;penta;1112;60340;4336910336
graphNativeFull;64;penta;172;60001;7633633280
graphNativeFull;65;penta;1945;60237;2596274176
graphNativeFull;66;penta;146;60001;7524581376
graphNativeFull;67;penta;209;61109;3992977408
graphNativeFull;68;penta;94;60001;9621733376
graphNativeFull;69;penta;233;60458;1484783616
graphNativeFull;70;penta;102;60001;6006243328
graphNativeFull;71;penta;1357;60001;8359247872
graphNativeFull;72;penta;449;61272;3913285632
graphNativeFull;73;penta;112;60476;6874464256
graphNativeFull;74;penta;105;60382;8346664960
graphNativeFull;75;penta;127;61299;3875536896
graphNativeFull;76;penta;24;60886;9005170688
graphNativeFull;77;penta;0;61304;10791944192
graphNativeFull;78;penta;18;60001;7256145920
graphNativeFull;79;penta;88;60001;9818865664
graphNativeFull;80;penta;66;61315;10573840384
graphNativeFull;81;penta;93;60001;9097445376
graphNativeFull;82;penta;122;60097;3183476736
graphNativeFull;83;penta;2260;60442;3623878656
graphNativeFull;84;penta;196;60143;1602224128
graphNativeFull;85;penta;20341;60001;2336227328
graphNativeFull;86;penta;56;61100;10548674560
graphNativeFull;87;penta;2;60001;10460594176
graphNativeFull;88;penta;24;61162;4219469824
graphNativeFull;89;penta;123;60001;8963227648
graphNativeFull;90;penta;106;60001;9974054912
graphNativeFull;91;penta;25;60001;11056185344
graphNativeFull;92;penta;131;60047;1749024768
graphNativeFull;93;penta;50;60054;4253024256
graphNativeFull;94;penta;106;61291;7524581376
graphNativeFull;95;penta;94;60712;8283750400
graphNativeFull;96;penta;2844;60044;9231663104
graphNativeFull;97;penta;119;60001;5528092672
graphNativeFull;98;penta;65;60836;7264534528
graphNativeFull;99;penta;64896;60001;4009754624
