Estructura;ID;Grupos;Aristas;Tiempo;Memoria
graphNativeFull;0;triple;0;60001;10506731520
graphNativeFull;1;triple;3983;60001;11190403072
graphNativeFull;2;triple;180;60001;13551796224
graphNativeFull;3;triple;33;60438;3821010944
graphNativeFull;4;triple;3;60001;9571401728
graphNativeFull;5;triple;0;60001;6496976896
graphNativeFull;6;triple;92;60001;10745806848
graphNativeFull;7;triple;134;60001;10242490368
graphNativeFull;8;triple;96;60138;8174698496
graphNativeFull;9;triple;20;60001;10443816960
graphNativeFull;10;triple;31;60539;3812622336
graphNativeFull;11;triple;5432;60001;6719275008
graphNativeFull;12;triple;0;61443;10796138496
graphNativeFull;13;triple;21;60001;11140071424
graphNativeFull;14;triple;135;61223;6614417408
graphNativeFull;15;triple;15;60001;11114905600
graphNativeFull;16;triple;10;60786;9005170688
graphNativeFull;17;triple;12;60533;8262778880
graphNativeFull;18;triple;114;60575;2353004544
graphNativeFull;19;triple;78;60655;7528775680
graphNativeFull;20;triple;69;60001;8111783936
graphNativeFull;21;triple;5805;60001;3791650816
graphNativeFull;22;triple;3;60502;8074035200
graphNativeFull;23;triple;92;60236;9319743488
graphNativeFull;24;triple;149;60181;7449083904
graphNativeFull;25;triple;1743;60001;11177820160
graphNativeFull;26;triple;10344;60001;10871635968
graphNativeFull;27;triple;99;60262;9294577664
graphNativeFull;28;triple;63;60001;9672065024
graphNativeFull;29;triple;3366;60190;5603590144
graphNativeFull;30;triple;0;60738;10800332800
graphNativeFull;31;triple;4;61394;10116661248
graphNativeFull;32;triple;5;60001;10083106816
graphNativeFull;33;triple;95;60001;11173625856
graphNativeFull;34;triple;18769;60001;4525654016
graphNativeFull;35;triple;159;60001;11353980928
graphNativeFull;36;triple;412589;60001;4819255296
graphNativeFull;37;triple;68;60001;9982443520
graphNativeFull;38;triple;1944;60106;1707081728
graphNativeFull;39;triple;101;60693;3800039424
graphNativeFull;40;triple;84;62781;10796138496
graphNativeFull;41;triple;16;60288;6866075648
graphNativeFull;42;triple;83;60414;9055502336
graphNativeFull;43;triple;4;60697;9172942848
graphNativeFull;44;triple;8141;60001;1644167168
graphNativeFull;45;triple;3181;60013;1199570944
graphNativeFull;46;triple;580;60872;4011340800
graphNativeFull;47;triple;70;60158;9189720064
graphNativeFull;48;triple;428;60001;6002049024
graphNativeFull;49;triple;79;60001;9542041600
graphNativeFull;50;triple;11;60023;8015314944
graphNativeFull;51;triple;1190;60001;6006243328
graphNativeFull;52;triple;0;60001;12264144896
graphNativeFull;53;triple;18;60001;10330570752
graphNativeFull;54;triple;71;60748;5695864832
graphNativeFull;55;triple;1695;60001;5922357248
graphNativeFull;56;triple;0;60001;10703863808
graphNativeFull;57;triple;255984;60001;11010048000
graphNativeFull;58;triple;0;62277;10812915712
graphNativeFull;59;triple;29;60001;7801405440
graphNativeFull;60;triple;113;60681;7721713664
graphNativeFull;61;triple;76;62728;8023703552
graphNativeFull;62;triple;4;60001;7805599744
graphNativeFull;63;triple;100;60349;10724835328
graphNativeFull;64;triple;67;60001;9617539072
graphNativeFull;65;triple;116;60476;5289017344
graphNativeFull;66;triple;1456;60001;12415139840
graphNativeFull;67;triple;81;60001;8820621312
graphNativeFull;68;triple;55;60940;8229224448
graphNativeFull;69;triple;79;60746;6123683840
graphNativeFull;70;triple;89;60531;10452205568
graphNativeFull;71;triple;5;60001;9428795392
graphNativeFull;72;triple;0;61855;10817110016
graphNativeFull;73;triple;10;61062;6580862976
graphNativeFull;74;triple;0;60194;9508487168
graphNativeFull;75;triple;129;60001;12247367680
graphNativeFull;76;triple;9;62108;9386852352
graphNativeFull;77;triple;0;60001;8673820672
graphNativeFull;78;triple;94;61114;5603590144
graphNativeFull;79;triple;0;60001;6908018688
graphNativeFull;80;triple;0;62490;10808721408
graphNativeFull;81;triple;0;62308;10800332800
graphNativeFull;82;triple;101;61128;7461666816
graphNativeFull;83;triple;2;60001;9537847296
graphNativeFull;84;triple;168;60485;2332033024
graphNativeFull;85;triple;54;60001;10364125184
graphNativeFull;86;triple;3;60435;8162115584
graphNativeFull;87;triple;1324558;60001;4659103232
graphNativeFull;88;triple;549;60001;10032775168
graphNativeFull;89;triple;55;60001;8279556096
graphNativeFull;90;triple;99;60063;5276434432
graphNativeFull;91;triple;128;60001;9718202368
graphNativeFull;92;triple;3626;60001;778818416
graphNativeFull;93;triple;72;61208;4287600640
graphNativeFull;94;triple;12;60001;6987710464
graphNativeFull;95;triple;17;60352;7289700352
graphNativeFull;96;triple;44;60809;8023703552
graphNativeFull;97;triple;85;60001;10770972672
graphNativeFull;98;triple;1817;60001;6853492736
graphNativeFull;99;triple;10;60001;11341398016
