Estructura;ID;Aristas;Tiempo;Memoria
graphNativeFull;0;3654;60001;10166715744
graphNativeFull;1;2;130398;3925868544
graphNativeFull;2;0;94784;5892997120
graphNativeFull;3;0;60001;9655287808
graphNativeFull;4;0;103859;10154409984
graphNativeFull;5;144;142818;13132365824
graphNativeFull;6;11;141478;15464398848
graphNativeFull;7;82817;94574;6668943360
graphNativeFull;8;552;64931;8325693360
graphNativeFull;9;11;82545;10259267584
graphNativeFull;10;0;95476;12662603776
graphNativeFull;11;0;149347;15447621632
graphNativeFull;12;0;61781;3724541952
graphNativeFull;13;0;93148;6773800880
graphNativeFull;14;4;122476;10154409984
graphNativeFull;15;92;129977;12658409472
graphNativeFull;16;0;165854;15447621632
graphNativeFull;17;0;85769;7239368704
graphNativeFull;18;35;110889;9609150464
graphNativeFull;19;21;161150;12859736064
graphNativeFull;20;137;159619;15447621632
graphNativeFull;21;1993;106986;6916407296
graphNativeFull;22;0;132989;10162798592
graphNativeFull;23;11;89501;11345592320
graphNativeFull;24;0;60001;10842275840
graphNativeFull;25;1581;155280;14508097536
graphNativeFull;26;2023;80742;6803161088
graphNativeFull;27;120;78449;13560184784
graphNativeFull;28;5430;100848;11131682816
graphNativeFull;29;2683;60035;15456010192
graphNativeFull;30;0;60001;6832521168
graphNativeFull;31;2311;127619;15447621632
graphNativeFull;32;7;92618;3707764736
graphNativeFull;33;4;88626;6589251584
graphNativeFull;34;0;66492;7545552896
graphNativeFull;35;164;60495;8325693440
graphNativeFull;36;97;78212;10150215680
graphNativeFull;37;706;117046;11723079680
graphNativeFull;38;5;170047;14457765888
graphNativeFull;39;11963;106500;15535702016
graphNativeFull;40;0;101726;9080668160
graphNativeFull;41;45;76337;12662603776
graphNativeFull;42;30;111394;14537457664
graphNativeFull;43;28;106191;15435038720
graphNativeFull;44;139;60970;6132072448
graphNativeFull;45;763;111484;12675186688
graphNativeFull;46;39938;88845;14596177920
graphNativeFull;47;0;60056;14982053808
graphNativeFull;48;256;87301;14566817792
graphNativeFull;49;9794;60272;11773411328
graphNativeFull;50;0;137075;15426650112
graphNativeFull;51;0;65286;10007609344
graphNativeFull;52;0;63602;11593056208
graphNativeFull;53;692869;84290;12914262016
graphNativeFull;54;84;143031;15451815936
graphNativeFull;55;29651;64546;6606028800
graphNativeFull;56;80;60719;8300527616
graphNativeFull;57;0;111323;11177820160
graphNativeFull;58;111;102667;12654215168
graphNativeFull;59;2;171290;15451815936
graphNativeFull;60;117;78239;4303355904
graphNativeFull;61;0;62168;10179575808
graphNativeFull;62;5;117428;12650020864
graphNativeFull;63;10;60393;12234784768
graphNativeFull;64;146;164166;15422455808
graphNativeFull;65;0;90133;7226785792
graphNativeFull;66;345696;66955;9235857408
graphNativeFull;67;0;68131;10158604288
graphNativeFull;68;0;148716;12662603776
graphNativeFull;69;4;169494;15435038720
graphNativeFull;70;26;64542;4307550128
graphNativeFull;71;346;254954;12847153152
graphNativeFull;72;166;138024;15611199488
graphNativeFull;73;3551;60064;12931039232
graphNativeFull;74;71;126043;15426650112
graphNativeFull;75;19;67393;3623878656
graphNativeFull;76;0;116420;8396996608
graphNativeFull;77;687;68158;10154409984
graphNativeFull;78;3;174802;15531507712
graphNativeFull;79;25;84291;4315938816
graphNativeFull;80;30;83103;7621050368
graphNativeFull;81;1992;182584;12968787968
graphNativeFull;82;0;167993;15439233024
graphNativeFull;83;0;60019;5108662272
graphNativeFull;84;1547;138112;9625927680
graphNativeFull;85;65;97638;11114905600
graphNativeFull;86;53275;113137;13300137984
graphNativeFull;87;746;81363;14512291840
graphNativeFull;88;0;78638;14654898176
graphNativeFull;89;0;128648;15439233024
graphNativeFull;90;833;72672;5939134464
graphNativeFull;91;1721;114591;7277117440
graphNativeFull;92;15;113934;9609150464
graphNativeFull;93;0;60035;10859053056
graphNativeFull;94;197;152896;12658409472
graphNativeFull;95;1994;143037;15456010160
graphNativeFull;96;5982;79336;6819938224
graphNativeFull;97;82;158856;10183770112
graphNativeFull;98;11744;148610;12679380912
graphNativeFull;99;289;60038;13329498032
