Estructura;Tiempos;ID;SetDatos
compressedDense;0;8147;subset100000
compressedDense;0;51192;subset100000
compressedDense;0;22296;subset100000
compressedDense;0;11096;subset100000
compressedDense;1;31615;subset100000
compressedDense;0;9738;subset100000
compressedDense;0;54212;subset100000
compressedDense;2;6760;subset100000
compressedDense;9;27306;subset100000
compressedDense;1;224;subset100000
compressedDense;0;71371;subset100000
compressedDense;0;66822;subset100000
compressedDense;0;47325;subset100000
compressedDense;0;51302;subset100000
compressedDense;0;79056;subset100000
compressedDense;0;50396;subset100000
compressedDense;2;1321;subset100000
compressedDense;0;43682;subset100000
compressedDense;11;40;subset100000
compressedDense;0;74323;subset100000
compressedDense;0;28648;subset100000
compressedDense;1394;5;subset100000
compressedDense;0;55479;subset100000
compressedDense;0;55707;subset100000
compressedDense;0;22480;subset100000
compressedDense;0;50795;subset100000
compressedDense;0;7215;subset100000
compressedDense;0;20244;subset100000
compressedDense;0;74885;subset100000
compressedDense;472;188;subset100000
compressedDense;22;82955;subset100000
compressedDense;0;17742;subset100000
compressedDense;0;97060;subset100000
compressedDense;0;13816;subset100000
compressedDense;0;7965;subset100000
compressedDense;0;13642;subset100000
compressedDense;0;12722;subset100000
compressedDense;0;462;subset100000
compressedDense;0;69836;subset100000
compressedDense;0;96252;subset100000
compressedDense;0;37922;subset100000
compressedDense;0;5390;subset100000
compressedDense;14;64;subset100000
compressedDense;0;49338;subset100000
compressedDense;0;70641;subset100000
compressedDense;0;7070;subset100000
compressedDense;0;64129;subset100000
compressedDense;0;21210;subset100000
compressedDense;0;33;subset100000
compressedDense;0;17149;subset100000
compressedDense;0;65925;subset100000
compressedDense;0;46184;subset100000
compressedDense;0;76887;subset100000
compressedDense;0;25513;subset100000
compressedDense;0;88118;subset100000
compressedDense;0;94090;subset100000
compressedDense;0;97725;subset100000
compressedDense;0;21501;subset100000
compressedDense;2;148;subset100000
compressedDense;0;20435;subset100000
compressedDense;0;94588;subset100000
compressedDense;0;16126;subset100000
compressedDense;0;54656;subset100000
compressedDense;0;7850;subset100000
compressedDense;50;30;subset100000
compressedDense;0;7979;subset100000
compressedDense;0;5340;subset100000
compressedDense;0;69812;subset100000
compressedDense;0;73892;subset100000
compressedDense;0;51935;subset100000
compressedDense;0;99690;subset100000
compressedDense;0;55062;subset100000
compressedDense;0;1016;subset100000
compressedDense;0;86449;subset100000
compressedDense;0;74317;subset100000
compressedDense;0;2852;subset100000
compressedDense;0;94961;subset100000
compressedDense;0;9342;subset100000
compressedDense;0;17419;subset100000
compressedDense;0;14925;subset100000
compressedDense;0;45124;subset100000
compressedDense;0;20365;subset100000
compressedDense;0;129;subset100000
compressedDense;0;42679;subset100000
compressedDense;1;127;subset100000
compressedDense;0;328;subset100000
compressedDense;0;6478;subset100000
compressedDense;0;28640;subset100000
compressedDense;0;403;subset100000
compressedDense;0;72308;subset100000
compressedDense;341;183;subset100000
compressedDense;0;62676;subset100000
compressedDense;129;6655;subset100000
compressedDense;0;47711;subset100000
compressedDense;0;69163;subset100000
compressedDense;0;24276;subset100000
compressedDense;7;150;subset100000
compressedDense;0;33403;subset100000
compressedDense;0;55390;subset100000
compressedDense;0;42651;subset100000
compressedDense;0;61758;subset100000
compressedDense;0;21241;subset100000
compressedDense;0;35936;subset100000
compressedDense;0;10942;subset100000
compressedDense;0;71487;subset100000
compressedDense;0;1543;subset100000
compressedDense;0;64992;subset100000
compressedDense;1;11922;subset100000
compressedDense;0;98802;subset100000
compressedDense;0;54722;subset100000
compressedDense;0;23728;subset100000
compressedDense;0;35497;subset100000
compressedDense;0;79990;subset100000
compressedDense;0;1607;subset100000
compressedDense;0;54140;subset100000
compressedDense;0;95105;subset100000
compressedDense;0;5280;subset100000
compressedDense;0;62308;subset100000
compressedDense;0;81827;subset100000
compressedDense;0;12820;subset100000
compressedDense;0;21184;subset100000
compressedDense;0;1222;subset100000
compressedDense;0;49311;subset100000
compressedDense;0;11173;subset100000
compressedDense;1;4022;subset100000
compressedDense;1;884;subset100000
compressedDense;7;1741;subset100000
compressedDense;0;66231;subset100000
compressedDense;0;8502;subset100000
compressedDense;0;62943;subset100000
compressedDense;0;98790;subset100000
compressedDense;0;1022;subset100000
compressedDense;0;85389;subset100000
compressedDense;0;3718;subset100000
compressedDense;0;18365;subset100000
compressedDense;0;17308;subset100000
compressedDense;110;6723;subset100000
compressedDense;0;7822;subset100000
compressedDense;0;62996;subset100000
compressedDense;1;1794;subset100000
compressedDense;0;36188;subset100000
compressedDense;0;8194;subset100000
compressedDense;0;15695;subset100000
compressedDense;0;4864;subset100000
compressedDense;0;10744;subset100000
compressedDense;0;94593;subset100000
compressedDense;0;32849;subset100000
compressedDense;0;89014;subset100000
compressedDense;0;75996;subset100000
compressedDense;0;47322;subset100000
compressedDense;0;7113;subset100000
compressedDense;0;86974;subset100000
compressedDense;1;36834;subset100000
compressedDense;0;2936;subset100000
compressedDense;0;1223;subset100000
compressedDense;0;47384;subset100000
compressedDense;0;9004;subset100000
compressedDense;0;61279;subset100000
compressedDense;0;971;subset100000
compressedDense;0;124;subset100000
compressedDense;0;71574;subset100000
compressedDense;0;98274;subset100000
compressedDense;0;33506;subset100000
compressedDense;0;91521;subset100000
compressedDense;0;93368;subset100000
compressedDense;0;92437;subset100000
compressedDense;0;10536;subset100000
compressedDense;0;28736;subset100000
compressedDense;0;74995;subset100000
compressedDense;0;3805;subset100000
compressedDense;0;15971;subset100000
compressedDense;0;1721;subset100000
compressedDense;0;4100;subset100000
compressedDense;0;57594;subset100000
compressedDense;0;90238;subset100000
compressedDense;0;26782;subset100000
compressedDense;0;61890;subset100000
compressedDense;0;42802;subset100000
compressedDense;0;60544;subset100000
compressedDense;0;67808;subset100000
compressedDense;0;62559;subset100000
compressedDense;0;53317;subset100000
compressedDense;0;45643;subset100000
compressedDense;6;16521;subset100000
compressedDense;0;93075;subset100000
compressedDense;0;50796;subset100000
compressedDense;0;14385;subset100000
