Estructura;Tiempos;ID;SetDatos
compressedDense;37;2887;subset10000000
compressedDense;0;949679;subset10000000
compressedDense;1;2367525;subset10000000
compressedDense;1;484652;subset10000000
compressedDense;0;4941142;subset10000000
compressedDense;0;6483864;subset10000000
compressedDense;0;505174;subset10000000
compressedDense;0;3607890;subset10000000
compressedDense;6330492;6581097;subset10000000
compressedDense;0;5349988;subset10000000
compressedDense;0;588351;subset10000000
compressedDense;0;6432385;subset10000000
compressedDense;15;1076486;subset10000000
compressedDense;983;542;subset10000000
compressedDense;0;1557254;subset10000000
compressedDense;0;8342293;subset10000000
compressedDense;1;463281;subset10000000
compressedDense;37;183387;subset10000000
compressedDense;131;11446;subset10000000
compressedDense;0;4964746;subset10000000
compressedDense;0;5320917;subset10000000
compressedDense;9883196;5;subset10000000
compressedDense;0;940758;subset10000000
compressedDense;0;3640333;subset10000000
compressedDense;0;4061458;subset10000000
compressedDense;0;1425;subset10000000
compressedDense;0;123741;subset10000000
compressedDense;41432;150;subset10000000
compressedDense;0;84762;subset10000000
compressedDense;0;1695980;subset10000000
compressedDense;612330;7432;subset10000000
compressedDense;0;8950372;subset10000000
compressedDense;5360861;4167836;subset10000000
compressedDense;0;8470960;subset10000000
compressedDense;0;3186004;subset10000000
compressedDense;0;2464137;subset10000000
compressedDense;0;4079937;subset10000000
compressedDense;7;1773;subset10000000
compressedDense;0;37327;subset10000000
compressedDense;0;7906570;subset10000000
compressedDense;0;768964;subset10000000
compressedDense;0;6199979;subset10000000
compressedDense;0;1062125;subset10000000
compressedDense;0;2373318;subset10000000
compressedDense;0;154835;subset10000000
compressedDense;0;4355506;subset10000000
compressedDense;1;1259617;subset10000000
compressedDense;0;1328087;subset10000000
compressedDense;1638;838368;subset10000000
compressedDense;0;173782;subset10000000
compressedDense;0;3344193;subset10000000
compressedDense;380;185351;subset10000000
compressedDense;0;7929252;subset10000000
compressedDense;68898;6723;subset10000000
compressedDense;0;1804827;subset10000000
compressedDense;24;35497;subset10000000
compressedDense;0;1765351;subset10000000
compressedDense;0;385380;subset10000000
compressedDense;0;9273473;subset10000000
compressedDense;0;676047;subset10000000
compressedDense;0;5934361;subset10000000
compressedDense;0;6282249;subset10000000
compressedDense;2;302;subset10000000
compressedDense;10;350979;subset10000000
compressedDense;992;280658;subset10000000
compressedDense;25;7163;subset10000000
compressedDense;0;3367716;subset10000000
compressedDense;0;681787;subset10000000
compressedDense;0;14747;subset10000000
compressedDense;0;78120;subset10000000
