Estructura;Tiempos;ID;SetDatos
graphGT;1;8147;subset100000
graphGT;0;51192;subset100000
graphGT;0;22296;subset100000
graphGT;0;11096;subset100000
graphGT;0;31615;subset100000
graphGT;0;9738;subset100000
graphGT;0;54212;subset100000
graphGT;1;6760;subset100000
graphGT;3;27306;subset100000
graphGT;0;224;subset100000
graphGT;0;71371;subset100000
graphGT;0;66822;subset100000
graphGT;0;47325;subset100000
graphGT;0;51302;subset100000
graphGT;0;79056;subset100000
graphGT;0;50396;subset100000
graphGT;4;1321;subset100000
graphGT;0;43682;subset100000
graphGT;19;40;subset100000
graphGT;0;74323;subset100000
graphGT;0;28648;subset100000
graphGT;1450;5;subset100000
graphGT;0;55479;subset100000
graphGT;0;55707;subset100000
graphGT;0;22480;subset100000
graphGT;0;50795;subset100000
graphGT;0;7215;subset100000
graphGT;0;20244;subset100000
graphGT;0;74885;subset100000
graphGT;816;188;subset100000
graphGT;34;82955;subset100000
graphGT;0;17742;subset100000
graphGT;0;97060;subset100000
graphGT;0;13816;subset100000
graphGT;1;7965;subset100000
graphGT;0;13642;subset100000
graphGT;0;12722;subset100000
graphGT;0;462;subset100000
graphGT;0;69836;subset100000
graphGT;0;96252;subset100000
graphGT;0;37922;subset100000
graphGT;0;5390;subset100000
graphGT;27;64;subset100000
graphGT;0;49338;subset100000
graphGT;0;70641;subset100000
graphGT;1;7070;subset100000
graphGT;0;64129;subset100000
graphGT;0;21210;subset100000
graphGT;0;33;subset100000
graphGT;0;17149;subset100000
graphGT;0;65925;subset100000
graphGT;0;46184;subset100000
graphGT;0;76887;subset100000
graphGT;0;25513;subset100000
graphGT;0;88118;subset100000
graphGT;0;94090;subset100000
graphGT;1;97725;subset100000
graphGT;0;21501;subset100000
graphGT;2;148;subset100000
graphGT;0;20435;subset100000
graphGT;0;94588;subset100000
graphGT;0;16126;subset100000
graphGT;0;54656;subset100000
graphGT;0;7850;subset100000
graphGT;89;30;subset100000
graphGT;1;7979;subset100000
graphGT;0;5340;subset100000
graphGT;0;69812;subset100000
graphGT;0;73892;subset100000
graphGT;0;51935;subset100000
graphGT;0;99690;subset100000
graphGT;0;55062;subset100000
graphGT;0;1016;subset100000
graphGT;0;86449;subset100000
graphGT;0;74317;subset100000
graphGT;0;2852;subset100000
graphGT;0;94961;subset100000
graphGT;0;9342;subset100000
graphGT;0;17419;subset100000
graphGT;0;14925;subset100000
graphGT;0;45124;subset100000
graphGT;0;20365;subset100000
graphGT;0;129;subset100000
graphGT;0;42679;subset100000
graphGT;1;127;subset100000
graphGT;0;328;subset100000
graphGT;0;6478;subset100000
graphGT;0;28640;subset100000
graphGT;0;403;subset100000
graphGT;0;72308;subset100000
graphGT;585;183;subset100000
graphGT;0;62676;subset100000
graphGT;199;6655;subset100000
graphGT;0;47711;subset100000
graphGT;0;69163;subset100000
graphGT;0;24276;subset100000
graphGT;14;150;subset100000
graphGT;0;33403;subset100000
graphGT;0;55390;subset100000
graphGT;0;42651;subset100000
graphGT;0;61758;subset100000
graphGT;0;21241;subset100000
graphGT;0;35936;subset100000
graphGT;0;10942;subset100000
graphGT;0;71487;subset100000
graphGT;0;1543;subset100000
graphGT;0;64992;subset100000
graphGT;0;11922;subset100000
graphGT;0;98802;subset100000
graphGT;0;54722;subset100000
graphGT;0;23728;subset100000
graphGT;0;35497;subset100000
graphGT;0;79990;subset100000
graphGT;0;1607;subset100000
graphGT;0;54140;subset100000
graphGT;0;95105;subset100000
graphGT;0;5280;subset100000
graphGT;0;62308;subset100000
graphGT;0;81827;subset100000
graphGT;0;12820;subset100000
graphGT;0;21184;subset100000
graphGT;0;1222;subset100000
graphGT;0;49311;subset100000
graphGT;0;11173;subset100000
graphGT;1;4022;subset100000
graphGT;0;884;subset100000
graphGT;13;1741;subset100000
graphGT;0;66231;subset100000
graphGT;0;8502;subset100000
graphGT;0;62943;subset100000
graphGT;0;98790;subset100000
graphGT;1;1022;subset100000
graphGT;0;85389;subset100000
graphGT;0;3718;subset100000
graphGT;0;18365;subset100000
graphGT;0;17308;subset100000
graphGT;170;6723;subset100000
graphGT;0;7822;subset100000
graphGT;0;62996;subset100000
graphGT;1;1794;subset100000
graphGT;0;36188;subset100000
graphGT;0;8194;subset100000
graphGT;0;15695;subset100000
graphGT;0;4864;subset100000
graphGT;0;10744;subset100000
graphGT;0;94593;subset100000
graphGT;0;32849;subset100000
graphGT;0;89014;subset100000
graphGT;0;75996;subset100000
graphGT;0;47322;subset100000
graphGT;0;7113;subset100000
graphGT;0;86974;subset100000
graphGT;2;36834;subset100000
graphGT;0;2936;subset100000
graphGT;0;1223;subset100000
graphGT;0;47384;subset100000
graphGT;0;9004;subset100000
graphGT;0;61279;subset100000
graphGT;0;971;subset100000
graphGT;0;124;subset100000
graphGT;0;71574;subset100000
graphGT;0;98274;subset100000
graphGT;0;33506;subset100000
graphGT;0;91521;subset100000
graphGT;0;93368;subset100000
graphGT;0;92437;subset100000
graphGT;0;10536;subset100000
graphGT;0;28736;subset100000
graphGT;0;74995;subset100000
graphGT;0;3805;subset100000
graphGT;0;15971;subset100000
graphGT;0;1721;subset100000
graphGT;0;4100;subset100000
graphGT;0;57594;subset100000
graphGT;0;90238;subset100000
graphGT;0;26782;subset100000
graphGT;0;61890;subset100000
graphGT;0;42802;subset100000
graphGT;0;60544;subset100000
graphGT;0;67808;subset100000
graphGT;0;62559;subset100000
graphGT;0;53317;subset100000
graphGT;0;45643;subset100000
graphGT;9;16521;subset100000
graphGT;1;93075;subset100000
graphGT;0;50796;subset100000
graphGT;0;14385;subset100000
graphGT;0;64302;subset100000
graphGT;0;80390;subset100000
graphGT;0;15701;subset100000
graphGT;0;86621;subset100000
graphGT;9;159;subset100000
graphGT;2;652;subset100000
graphGT;0;23582;subset100000
graphGT;0;83033;subset100000
graphGT;0;70900;subset100000
graphGT;0;63528;subset100000
graphGT;72;1860;subset100000
graphGT;0;710;subset100000
graphGT;0;84351;subset100000
graphGT;0;53193;subset100000
graphGT;0;71533;subset100000
graphGT;0;42203;subset100000
graphGT;0;77573;subset100000
graphGT;0;68507;subset100000
graphGT;0;86672;subset100000
graphGT;0;99172;subset100000
graphGT;0;679;subset100000
graphGT;0;16796;subset100000
graphGT;3;361;subset100000
graphGT;0;657;subset100000
graphGT;5;33999;subset100000
graphGT;0;4633;subset100000
graphGT;0;20921;subset100000
graphGT;0;50111;subset100000
graphGT;0;27645;subset100000
graphGT;0;96165;subset100000
graphGT;0;71347;subset100000
graphGT;0;18423;subset100000
graphGT;0;40435;subset100000
graphGT;0;58144;subset100000
graphGT;0;71154;subset100000
graphGT;0;70091;subset100000
graphGT;0;80980;subset100000
graphGT;0;78357;subset100000
graphGT;0;31;subset100000
graphGT;1;1731;subset100000
graphGT;0;12770;subset100000
graphGT;0;73959;subset100000
graphGT;0;16153;subset100000
graphGT;0;85030;subset100000
graphGT;0;13730;subset100000
graphGT;0;19652;subset100000
graphGT;0;96853;subset100000
graphGT;0;6779;subset100000
graphGT;0;66036;subset100000
graphGT;0;43;subset100000
graphGT;1;44687;subset100000
graphGT;0;20241;subset100000
graphGT;0;8150;subset100000
graphGT;0;50398;subset100000
graphGT;0;5354;subset100000
graphGT;0;16134;subset100000
graphGT;0;29073;subset100000
graphGT;0;7749;subset100000
graphGT;0;67229;subset100000
graphGT;0;1920;subset100000
graphGT;0;93944;subset100000
graphGT;0;18021;subset100000
graphGT;0;7378;subset100000
graphGT;0;13298;subset100000
graphGT;36;142;subset100000
graphGT;0;9232;subset100000
graphGT;0;3150;subset100000
graphGT;6;70208;subset100000
graphGT;0;458;subset100000
graphGT;0;656;subset100000
graphGT;0;1709;subset100000
graphGT;0;96883;subset100000
graphGT;56;38;subset100000
graphGT;0;739;subset100000
graphGT;0;3739;subset100000
graphGT;0;32715;subset100000
graphGT;0;88125;subset100000
graphGT;0;67116;subset100000
graphGT;0;66411;subset100000
graphGT;0;5219;subset100000
graphGT;0;6829;subset100000
graphGT;0;2587;subset100000
graphGT;0;76724;subset100000
graphGT;0;9212;subset100000
graphGT;0;49220;subset100000
graphGT;0;3136;subset100000
graphGT;0;90414;subset100000
graphGT;0;43600;subset100000
graphGT;0;585;subset100000
graphGT;6;1726;subset100000
graphGT;1;7737;subset100000
graphGT;0;95643;subset100000
graphGT;0;6256;subset100000
graphGT;0;89899;subset100000
graphGT;0;8118;subset100000
graphGT;0;72847;subset100000
graphGT;0;98501;subset100000
graphGT;0;78096;subset100000
graphGT;0;35339;subset100000
graphGT;0;99;subset100000
graphGT;0;23522;subset100000
graphGT;0;55893;subset100000
graphGT;0;90309;subset100000
graphGT;0;4191;subset100000
graphGT;0;21732;subset100000
graphGT;0;3750;subset100000
graphGT;0;21208;subset100000
graphGT;0;65573;subset100000
graphGT;0;78881;subset100000
graphGT;0;191;subset100000
graphGT;0;45301;subset100000
graphGT;0;1764;subset100000
graphGT;0;230;subset100000
graphGT;0;772;subset100000
graphGT;0;338;subset100000
graphGT;0;48878;subset100000
graphGT;0;67358;subset100000
graphGT;0;15405;subset100000
graphGT;2;47064;subset100000
graphGT;0;98066;subset100000
graphGT;0;8134;subset100000
graphGT;0;39844;subset100000
graphGT;0;239;subset100000
graphGT;0;47448;subset100000
graphGT;0;35986;subset100000
graphGT;0;53838;subset100000
graphGT;0;67110;subset100000
graphGT;0;801;subset100000
graphGT;0;55655;subset100000
graphGT;0;62969;subset100000
graphGT;0;548;subset100000
graphGT;0;24991;subset100000
graphGT;0;88975;subset100000
graphGT;0;52102;subset100000
graphGT;0;53830;subset100000
graphGT;0;67234;subset100000
graphGT;0;2264;subset100000
graphGT;0;2017;subset100000
graphGT;0;24879;subset100000
graphGT;0;67068;subset100000
graphGT;0;11224;subset100000
graphGT;0;13783;subset100000
graphGT;0;11033;subset100000
graphGT;0;51473;subset100000
graphGT;0;91160;subset100000
graphGT;0;49079;subset100000
graphGT;0;52531;subset100000
graphGT;0;1115;subset100000
graphGT;0;80654;subset100000
graphGT;0;37486;subset100000
graphGT;0;49768;subset100000
graphGT;0;8615;subset100000
graphGT;2;36;subset100000
graphGT;0;98419;subset100000
graphGT;0;14600;subset100000
graphGT;0;84905;subset100000
graphGT;1;30185;subset100000
graphGT;0;43861;subset100000
graphGT;0;22206;subset100000
graphGT;0;88334;subset100000
graphGT;0;1711;subset100000
graphGT;0;56179;subset100000
graphGT;0;27479;subset100000
graphGT;6;2736;subset100000
graphGT;0;79007;subset100000
graphGT;1;90;subset100000
graphGT;0;79031;subset100000
graphGT;0;65030;subset100000
graphGT;0;65191;subset100000
graphGT;0;532;subset100000
graphGT;0;2843;subset100000
graphGT;0;9726;subset100000
graphGT;0;21798;subset100000
graphGT;0;24660;subset100000
graphGT;3;9592;subset100000
graphGT;0;42554;subset100000
graphGT;0;61894;subset100000
graphGT;0;67543;subset100000
graphGT;0;90193;subset100000
graphGT;0;73333;subset100000
graphGT;1;60;subset100000
graphGT;0;94483;subset100000
graphGT;28;36180;subset100000
graphGT;0;47774;subset100000
graphGT;0;67546;subset100000
graphGT;5;29;subset100000
graphGT;0;11148;subset100000
graphGT;0;91363;subset100000
graphGT;0;27314;subset100000
graphGT;0;18782;subset100000
graphGT;0;26501;subset100000
graphGT;0;1707;subset100000
graphGT;0;10853;subset100000
graphGT;1;55044;subset100000
graphGT;0;71936;subset100000
graphGT;0;68571;subset100000
graphGT;0;9948;subset100000
graphGT;0;58798;subset100000
graphGT;0;22136;subset100000
graphGT;0;54096;subset100000
graphGT;0;6574;subset100000
graphGT;0;17975;subset100000
graphGT;0;74491;subset100000
graphGT;0;71011;subset100000
graphGT;0;15797;subset100000
graphGT;0;116;subset100000
graphGT;0;78482;subset100000
graphGT;0;14274;subset100000
graphGT;1;65;subset100000
graphGT;0;53457;subset100000
graphGT;0;99520;subset100000
graphGT;0;8558;subset100000
graphGT;0;68315;subset100000
graphGT;1;155;subset100000
graphGT;0;1286;subset100000
graphGT;0;16271;subset100000
graphGT;0;88903;subset100000
graphGT;0;66212;subset100000
graphGT;0;7480;subset100000
graphGT;0;89952;subset100000
graphGT;0;58742;subset100000
graphGT;0;20493;subset100000
graphGT;0;76695;subset100000
graphGT;13;39;subset100000
graphGT;1;5084;subset100000
graphGT;0;11424;subset100000
graphGT;0;90789;subset100000
graphGT;0;2295;subset100000
graphGT;0;27967;subset100000
graphGT;0;265;subset100000
graphGT;0;64239;subset100000
graphGT;0;66162;subset100000
graphGT;0;10378;subset100000
graphGT;0;66800;subset100000
graphGT;1;6985;subset100000
graphGT;0;3344;subset100000
graphGT;0;32724;subset100000
graphGT;0;60796;subset100000
graphGT;0;1284;subset100000
graphGT;0;954;subset100000
graphGT;3;577;subset100000
graphGT;1;46;subset100000
graphGT;0;5675;subset100000
graphGT;0;61025;subset100000
graphGT;0;84583;subset100000
graphGT;0;79808;subset100000
graphGT;0;22197;subset100000
graphGT;0;10580;subset100000
graphGT;0;39408;subset100000
graphGT;0;72467;subset100000
graphGT;0;26233;subset100000
graphGT;0;52186;subset100000
graphGT;0;85020;subset100000
graphGT;0;18095;subset100000
graphGT;0;11380;subset100000
graphGT;0;38903;subset100000
graphGT;0;21873;subset100000
graphGT;1;15180;subset100000
graphGT;0;84104;subset100000
graphGT;0;24161;subset100000
graphGT;0;12439;subset100000
graphGT;0;11925;subset100000
graphGT;0;55;subset100000
graphGT;0;9890;subset100000
graphGT;10;145;subset100000
graphGT;0;67652;subset100000
graphGT;0;34011;subset100000
graphGT;0;229;subset100000
graphGT;0;1040;subset100000
graphGT;0;67585;subset100000
graphGT;0;13760;subset100000
graphGT;0;99365;subset100000
graphGT;0;72065;subset100000
graphGT;0;68008;subset100000
graphGT;0;406;subset100000
graphGT;0;27939;subset100000
graphGT;0;10615;subset100000
graphGT;0;14888;subset100000
graphGT;0;111;subset100000
graphGT;0;9301;subset100000
graphGT;0;70609;subset100000
graphGT;0;11190;subset100000
graphGT;0;33648;subset100000
graphGT;0;20397;subset100000
graphGT;0;2868;subset100000
graphGT;2;1055;subset100000
graphGT;0;1492;subset100000
graphGT;0;44799;subset100000
graphGT;1;16;subset100000
graphGT;0;4158;subset100000
graphGT;0;98388;subset100000
graphGT;1;13882;subset100000
graphGT;0;2612;subset100000
graphGT;0;20782;subset100000
graphGT;0;57401;subset100000
graphGT;0;43917;subset100000
graphGT;0;6462;subset100000
graphGT;0;66041;subset100000
graphGT;0;97521;subset100000
graphGT;0;86488;subset100000
graphGT;0;51724;subset100000
graphGT;0;994;subset100000
graphGT;0;9808;subset100000
graphGT;0;13124;subset100000
graphGT;0;591;subset100000
graphGT;0;62565;subset100000
graphGT;0;172;subset100000
graphGT;0;66202;subset100000
graphGT;0;17125;subset100000
