Estructura;Tiempos;ID;SetDatos
graphNativeFull;1;314918;subset1000000
graphNativeFull;0;328716;subset1000000
graphNativeFull;25;183;subset1000000
graphNativeFull;0;39367;subset1000000
graphNativeFull;0;252588;subset1000000
graphNativeFull;0;951120;subset1000000
graphNativeFull;0;78474;subset1000000
graphNativeFull;0;37473;subset1000000
graphNativeFull;0;873000;subset1000000
graphNativeFull;0;315574;subset1000000
graphNativeFull;0;982878;subset1000000
graphNativeFull;0;206381;subset1000000
graphNativeFull;0;331650;subset1000000
graphNativeFull;1;82059;subset1000000
graphNativeFull;0;656444;subset1000000
graphNativeFull;0;403929;subset1000000
graphNativeFull;0;532423;subset1000000
graphNativeFull;0;53356;subset1000000
graphNativeFull;0;700117;subset1000000
graphNativeFull;1;525;subset1000000
graphNativeFull;0;170305;subset1000000
graphNativeFull;0;61225;subset1000000
graphNativeFull;0;862005;subset1000000
graphNativeFull;0;573214;subset1000000
graphNativeFull;0;224;subset1000000
graphNativeFull;1;60;subset1000000
graphNativeFull;0;14872;subset1000000
graphNativeFull;0;991072;subset1000000
graphNativeFull;0;670541;subset1000000
graphNativeFull;7;16521;subset1000000
graphNativeFull;0;201584;subset1000000
graphNativeFull;0;785132;subset1000000
graphNativeFull;0;954963;subset1000000
graphNativeFull;0;188094;subset1000000
graphNativeFull;0;235447;subset1000000
graphNativeFull;3;40;subset1000000
graphNativeFull;0;31323;subset1000000
graphNativeFull;0;72351;subset1000000
graphNativeFull;0;336229;subset1000000
graphNativeFull;0;29309;subset1000000
graphNativeFull;0;875538;subset1000000
graphNativeFull;0;47912;subset1000000
graphNativeFull;1;130232;subset1000000
graphNativeFull;0;580866;subset1000000
graphNativeFull;0;899669;subset1000000
graphNativeFull;0;23436;subset1000000
graphNativeFull;33;5;subset1000000
graphNativeFull;0;837466;subset1000000
graphNativeFull;0;896266;subset1000000
graphNativeFull;0;10522;subset1000000
graphNativeFull;2;36;subset1000000
graphNativeFull;0;855585;subset1000000
graphNativeFull;0;91199;subset1000000
graphNativeFull;0;31561;subset1000000
graphNativeFull;0;356415;subset1000000
graphNativeFull;0;219;subset1000000
graphNativeFull;0;408859;subset1000000
graphNativeFull;0;190563;subset1000000
graphNativeFull;0;266563;subset1000000
graphNativeFull;0;34117;subset1000000
graphNativeFull;1;35794;subset1000000
graphNativeFull;0;606779;subset1000000
graphNativeFull;0;954398;subset1000000
graphNativeFull;0;619074;subset1000000
graphNativeFull;0;718817;subset1000000
graphNativeFull;0;942275;subset1000000
graphNativeFull;0;560185;subset1000000
graphNativeFull;0;321774;subset1000000
graphNativeFull;0;159913;subset1000000
graphNativeFull;6;188;subset1000000
graphNativeFull;0;558494;subset1000000
graphNativeFull;0;215536;subset1000000
graphNativeFull;0;106259;subset1000000
graphNativeFull;0;686826;subset1000000
graphNativeFull;0;104088;subset1000000
graphNativeFull;0;328131;subset1000000
graphNativeFull;0;350317;subset1000000
graphNativeFull;0;30277;subset1000000
graphNativeFull;0;250867;subset1000000
graphNativeFull;0;53110;subset1000000
graphNativeFull;0;678775;subset1000000
graphNativeFull;0;943110;subset1000000
graphNativeFull;0;261365;subset1000000
graphNativeFull;0;336586;subset1000000
graphNativeFull;0;385350;subset1000000
graphNativeFull;0;480479;subset1000000
graphNativeFull;0;30937;subset1000000
graphNativeFull;0;377585;subset1000000
graphNativeFull;0;740623;subset1000000
graphNativeFull;0;261271;subset1000000
graphNativeFull;0;853464;subset1000000
graphNativeFull;0;766562;subset1000000
graphNativeFull;0;316205;subset1000000
graphNativeFull;0;176398;subset1000000
graphNativeFull;0;857125;subset1000000
graphNativeFull;0;256744;subset1000000
graphNativeFull;0;41343;subset1000000
graphNativeFull;0;551782;subset1000000
graphNativeFull;0;796754;subset1000000
graphNativeFull;6;142;subset1000000
graphNativeFull;0;752433;subset1000000
graphNativeFull;0;261846;subset1000000
graphNativeFull;0;3771;subset1000000
graphNativeFull;0;523503;subset1000000
graphNativeFull;0;57701;subset1000000
graphNativeFull;0;432328;subset1000000
graphNativeFull;0;819460;subset1000000
graphNativeFull;0;896818;subset1000000
graphNativeFull;1;314851;subset1000000
graphNativeFull;0;96494;subset1000000
graphNativeFull;0;13844;subset1000000
graphNativeFull;0;57597;subset1000000
graphNativeFull;0;651722;subset1000000
graphNativeFull;0;874978;subset1000000
graphNativeFull;0;411169;subset1000000
graphNativeFull;0;800386;subset1000000
graphNativeFull;0;508698;subset1000000
graphNativeFull;0;150139;subset1000000
graphNativeFull;0;172902;subset1000000
graphNativeFull;0;3043;subset1000000
graphNativeFull;0;921;subset1000000
graphNativeFull;0;886338;subset1000000
graphNativeFull;0;240588;subset1000000
graphNativeFull;0;635489;subset1000000
graphNativeFull;0;714352;subset1000000
graphNativeFull;0;168151;subset1000000
graphNativeFull;0;853115;subset1000000
graphNativeFull;0;215622;subset1000000
graphNativeFull;0;861080;subset1000000
graphNativeFull;0;195697;subset1000000
graphNativeFull;0;91378;subset1000000
graphNativeFull;0;25088;subset1000000
graphNativeFull;0;591832;subset1000000
graphNativeFull;0;663981;subset1000000
graphNativeFull;0;717741;subset1000000
graphNativeFull;0;253348;subset1000000
graphNativeFull;0;202133;subset1000000
graphNativeFull;0;744872;subset1000000
graphNativeFull;0;131603;subset1000000
graphNativeFull;0;348512;subset1000000
graphNativeFull;0;798797;subset1000000
graphNativeFull;0;269516;subset1000000
graphNativeFull;0;76546;subset1000000
graphNativeFull;0;149110;subset1000000
graphNativeFull;0;439237;subset1000000
graphNativeFull;0;21802;subset1000000
graphNativeFull;0;633408;subset1000000
graphNativeFull;0;637739;subset1000000
graphNativeFull;0;176169;subset1000000
graphNativeFull;0;1093;subset1000000
graphNativeFull;0;773188;subset1000000
graphNativeFull;1;884;subset1000000
graphNativeFull;0;449054;subset1000000
graphNativeFull;0;82894;subset1000000
graphNativeFull;0;973884;subset1000000
graphNativeFull;0;312946;subset1000000
graphNativeFull;0;694066;subset1000000
graphNativeFull;0;178038;subset1000000
graphNativeFull;0;23445;subset1000000
graphNativeFull;0;188511;subset1000000
graphNativeFull;0;49280;subset1000000
graphNativeFull;0;79822;subset1000000
graphNativeFull;0;154069;subset1000000
graphNativeFull;2;29;subset1000000
graphNativeFull;0;318292;subset1000000
graphNativeFull;0;59445;subset1000000
graphNativeFull;0;8341;subset1000000
graphNativeFull;0;624303;subset1000000
graphNativeFull;0;151757;subset1000000
graphNativeFull;3;33999;subset1000000
graphNativeFull;0;104907;subset1000000
graphNativeFull;0;711675;subset1000000
graphNativeFull;0;649;subset1000000
graphNativeFull;0;604775;subset1000000
graphNativeFull;0;7066;subset1000000
graphNativeFull;0;15180;subset1000000
graphNativeFull;0;948132;subset1000000
graphNativeFull;0;660336;subset1000000
graphNativeFull;0;737990;subset1000000
graphNativeFull;0;543717;subset1000000
graphNativeFull;0;111348;subset1000000
graphNativeFull;0;513092;subset1000000
graphNativeFull;0;719689;subset1000000
graphNativeFull;0;8502;subset1000000
graphNativeFull;1;482994;subset1000000
graphNativeFull;0;368501;subset1000000
graphNativeFull;0;484188;subset1000000
graphNativeFull;0;37150;subset1000000
graphNativeFull;3;38;subset1000000
graphNativeFull;0;310485;subset1000000
graphNativeFull;0;326782;subset1000000
graphNativeFull;1;12152;subset1000000
graphNativeFull;0;769086;subset1000000
graphNativeFull;0;5994;subset1000000
graphNativeFull;0;106940;subset1000000
graphNativeFull;0;260040;subset1000000
graphNativeFull;0;957513;subset1000000
graphNativeFull;1;215380;subset1000000
graphNativeFull;0;657420;subset1000000
graphNativeFull;0;827444;subset1000000
graphNativeFull;0;908980;subset1000000
graphNativeFull;0;670283;subset1000000
graphNativeFull;0;471839;subset1000000
graphNativeFull;0;289881;subset1000000
graphNativeFull;0;599335;subset1000000
graphNativeFull;0;853630;subset1000000
graphNativeFull;0;954176;subset1000000
graphNativeFull;0;180278;subset1000000
graphNativeFull;4;7432;subset1000000
graphNativeFull;0;6904;subset1000000
graphNativeFull;2;652;subset1000000
graphNativeFull;0;13783;subset1000000
graphNativeFull;0;86991;subset1000000
graphNativeFull;0;172936;subset1000000
graphNativeFull;0;710965;subset1000000
graphNativeFull;0;456724;subset1000000
graphNativeFull;0;728228;subset1000000
graphNativeFull;0;4791;subset1000000
graphNativeFull;0;35637;subset1000000
graphNativeFull;0;543914;subset1000000
graphNativeFull;1;152838;subset1000000
graphNativeFull;0;12771;subset1000000
graphNativeFull;0;34363;subset1000000
graphNativeFull;0;428734;subset1000000
graphNativeFull;0;8558;subset1000000
graphNativeFull;0;192828;subset1000000
graphNativeFull;0;608718;subset1000000
graphNativeFull;0;559891;subset1000000
graphNativeFull;0;500988;subset1000000
graphNativeFull;0;356203;subset1000000
graphNativeFull;0;448845;subset1000000
graphNativeFull;0;362577;subset1000000
graphNativeFull;0;78;subset1000000
graphNativeFull;0;239085;subset1000000
graphNativeFull;0;477764;subset1000000
graphNativeFull;0;762882;subset1000000
graphNativeFull;0;7366;subset1000000
graphNativeFull;0;270920;subset1000000
graphNativeFull;0;76761;subset1000000
graphNativeFull;0;939777;subset1000000
graphNativeFull;0;442756;subset1000000
graphNativeFull;0;633678;subset1000000
graphNativeFull;0;917091;subset1000000
graphNativeFull;0;529970;subset1000000
graphNativeFull;0;414896;subset1000000
graphNativeFull;4;145;subset1000000
graphNativeFull;0;197833;subset1000000
graphNativeFull;0;18443;subset1000000
graphNativeFull;0;327616;subset1000000
graphNativeFull;0;3125;subset1000000
graphNativeFull;0;66986;subset1000000
graphNativeFull;0;633403;subset1000000
graphNativeFull;0;379077;subset1000000
graphNativeFull;0;454860;subset1000000
graphNativeFull;0;713279;subset1000000
graphNativeFull;0;45182;subset1000000
graphNativeFull;0;15621;subset1000000
graphNativeFull;0;509861;subset1000000
graphNativeFull;0;3342;subset1000000
graphNativeFull;0;332427;subset1000000
graphNativeFull;5;82955;subset1000000
graphNativeFull;0;781620;subset1000000
graphNativeFull;0;667509;subset1000000
graphNativeFull;0;8577;subset1000000
graphNativeFull;1;7163;subset1000000
graphNativeFull;0;368629;subset1000000
graphNativeFull;1;11424;subset1000000
graphNativeFull;0;179097;subset1000000
graphNativeFull;0;221395;subset1000000
graphNativeFull;1;213;subset1000000
graphNativeFull;2;39;subset1000000
graphNativeFull;0;790178;subset1000000
graphNativeFull;8;6655;subset1000000
graphNativeFull;0;260388;subset1000000
graphNativeFull;0;721353;subset1000000
graphNativeFull;0;8733;subset1000000
graphNativeFull;0;118378;subset1000000
graphNativeFull;0;959428;subset1000000
graphNativeFull;0;239303;subset1000000
graphNativeFull;0;34057;subset1000000
graphNativeFull;0;37655;subset1000000
graphNativeFull;0;315750;subset1000000
graphNativeFull;0;9288;subset1000000
graphNativeFull;1;3957;subset1000000
graphNativeFull;0;900301;subset1000000
graphNativeFull;10;30;subset1000000
graphNativeFull;0;333886;subset1000000
graphNativeFull;0;171558;subset1000000
graphNativeFull;1;586;subset1000000
graphNativeFull;0;205545;subset1000000
graphNativeFull;0;514381;subset1000000
graphNativeFull;0;21208;subset1000000
graphNativeFull;0;472896;subset1000000
graphNativeFull;0;845046;subset1000000
graphNativeFull;0;68572;subset1000000
graphNativeFull;0;57895;subset1000000
graphNativeFull;0;105753;subset1000000
graphNativeFull;0;168859;subset1000000
graphNativeFull;0;962;subset1000000
graphNativeFull;0;16242;subset1000000
graphNativeFull;0;878282;subset1000000
graphNativeFull;0;385908;subset1000000
graphNativeFull;0;4468;subset1000000
graphNativeFull;0;868302;subset1000000
graphNativeFull;0;407758;subset1000000
graphNativeFull;0;136851;subset1000000
graphNativeFull;0;859747;subset1000000
graphNativeFull;0;23848;subset1000000
graphNativeFull;0;242379;subset1000000
graphNativeFull;0;934842;subset1000000
graphNativeFull;0;4341;subset1000000
graphNativeFull;0;443359;subset1000000
graphNativeFull;2;211005;subset1000000
graphNativeFull;0;45722;subset1000000
graphNativeFull;0;114405;subset1000000
graphNativeFull;0;117068;subset1000000
graphNativeFull;0;879683;subset1000000
graphNativeFull;0;823600;subset1000000
graphNativeFull;0;82194;subset1000000
graphNativeFull;0;749988;subset1000000
graphNativeFull;0;37073;subset1000000
graphNativeFull;0;238587;subset1000000
graphNativeFull;0;57192;subset1000000
graphNativeFull;0;29182;subset1000000
graphNativeFull;0;571278;subset1000000
graphNativeFull;0;394146;subset1000000
graphNativeFull;0;392204;subset1000000
graphNativeFull;0;60953;subset1000000
graphNativeFull;0;713582;subset1000000
graphNativeFull;0;209099;subset1000000
graphNativeFull;0;913073;subset1000000
graphNativeFull;0;189831;subset1000000
graphNativeFull;0;689491;subset1000000
graphNativeFull;0;365;subset1000000
graphNativeFull;0;975560;subset1000000
graphNativeFull;0;27914;subset1000000
graphNativeFull;0;556461;subset1000000
graphNativeFull;0;103327;subset1000000
graphNativeFull;0;561911;subset1000000
graphNativeFull;0;891875;subset1000000
graphNativeFull;1;990368;subset1000000
graphNativeFull;0;170790;subset1000000
graphNativeFull;0;576434;subset1000000
graphNativeFull;0;83319;subset1000000
graphNativeFull;0;27120;subset1000000
graphNativeFull;0;724533;subset1000000
graphNativeFull;0;142344;subset1000000
graphNativeFull;0;484641;subset1000000
graphNativeFull;0;729487;subset1000000
graphNativeFull;0;648413;subset1000000
graphNativeFull;0;309995;subset1000000
graphNativeFull;0;630033;subset1000000
graphNativeFull;0;751198;subset1000000
graphNativeFull;0;244451;subset1000000
graphNativeFull;2;36834;subset1000000
graphNativeFull;0;212312;subset1000000
graphNativeFull;0;107593;subset1000000
graphNativeFull;0;8162;subset1000000
graphNativeFull;0;250544;subset1000000
graphNativeFull;0;458725;subset1000000
graphNativeFull;0;84344;subset1000000
graphNativeFull;0;18362;subset1000000
graphNativeFull;0;335130;subset1000000
graphNativeFull;0;131429;subset1000000
graphNativeFull;9;1860;subset1000000
graphNativeFull;0;232003;subset1000000
graphNativeFull;1;27169;subset1000000
graphNativeFull;0;92427;subset1000000
graphNativeFull;0;119449;subset1000000
graphNativeFull;0;632169;subset1000000
graphNativeFull;0;37064;subset1000000
graphNativeFull;0;919368;subset1000000
graphNativeFull;0;429806;subset1000000
graphNativeFull;0;11173;subset1000000
graphNativeFull;0;609699;subset1000000
graphNativeFull;0;477115;subset1000000
graphNativeFull;0;595352;subset1000000
graphNativeFull;0;541828;subset1000000
graphNativeFull;1;187579;subset1000000
graphNativeFull;0;243113;subset1000000
graphNativeFull;0;25319;subset1000000
graphNativeFull;0;101600;subset1000000
graphNativeFull;0;292691;subset1000000
graphNativeFull;0;83189;subset1000000
graphNativeFull;0;653461;subset1000000
graphNativeFull;0;39861;subset1000000
graphNativeFull;0;984207;subset1000000
graphNativeFull;0;644750;subset1000000
graphNativeFull;0;964221;subset1000000
graphNativeFull;0;523743;subset1000000
graphNativeFull;1;43;subset1000000
graphNativeFull;0;21752;subset1000000
graphNativeFull;0;21344;subset1000000
graphNativeFull;0;100276;subset1000000
graphNativeFull;0;704376;subset1000000
graphNativeFull;0;192495;subset1000000
graphNativeFull;0;425574;subset1000000
graphNativeFull;0;283393;subset1000000
graphNativeFull;0;12626;subset1000000
graphNativeFull;0;344187;subset1000000
graphNativeFull;0;644241;subset1000000
graphNativeFull;0;8646;subset1000000
graphNativeFull;0;2997;subset1000000
graphNativeFull;0;6576;subset1000000
graphNativeFull;0;19518;subset1000000
graphNativeFull;0;495;subset1000000
graphNativeFull;1;833070;subset1000000
graphNativeFull;0;230832;subset1000000
graphNativeFull;0;639791;subset1000000
graphNativeFull;0;823207;subset1000000
graphNativeFull;0;406920;subset1000000
graphNativeFull;0;197723;subset1000000
graphNativeFull;0;914855;subset1000000
graphNativeFull;0;420764;subset1000000
graphNativeFull;0;12784;subset1000000
graphNativeFull;0;41710;subset1000000
graphNativeFull;0;648501;subset1000000
graphNativeFull;0;987660;subset1000000
graphNativeFull;0;57171;subset1000000
graphNativeFull;0;115152;subset1000000
graphNativeFull;0;383268;subset1000000
graphNativeFull;0;212475;subset1000000
graphNativeFull;0;8142;subset1000000
graphNativeFull;1;668;subset1000000
graphNativeFull;1;7737;subset1000000
graphNativeFull;0;155965;subset1000000
graphNativeFull;0;490859;subset1000000
graphNativeFull;0;53109;subset1000000
graphNativeFull;0;363811;subset1000000
graphNativeFull;0;205351;subset1000000
graphNativeFull;0;880787;subset1000000
graphNativeFull;1;41;subset1000000
graphNativeFull;0;725267;subset1000000
graphNativeFull;0;68363;subset1000000
graphNativeFull;0;126481;subset1000000
graphNativeFull;0;78224;subset1000000
graphNativeFull;0;512870;subset1000000
graphNativeFull;0;48301;subset1000000
graphNativeFull;0;847872;subset1000000
graphNativeFull;0;349822;subset1000000
graphNativeFull;4;602358;subset1000000
graphNativeFull;0;272484;subset1000000
graphNativeFull;0;385510;subset1000000
graphNativeFull;0;188929;subset1000000
graphNativeFull;0;12652;subset1000000
graphNativeFull;0;354430;subset1000000
graphNativeFull;0;34684;subset1000000
graphNativeFull;0;624741;subset1000000
graphNativeFull;0;216393;subset1000000
graphNativeFull;0;34266;subset1000000
graphNativeFull;0;165980;subset1000000
graphNativeFull;0;676440;subset1000000
graphNativeFull;0;551154;subset1000000
graphNativeFull;0;29552;subset1000000
graphNativeFull;0;693264;subset1000000
graphNativeFull;0;779352;subset1000000
graphNativeFull;0;323902;subset1000000
graphNativeFull;0;526382;subset1000000
graphNativeFull;0;930387;subset1000000
graphNativeFull;0;21199;subset1000000
graphNativeFull;0;308231;subset1000000
graphNativeFull;0;926218;subset1000000
graphNativeFull;0;329909;subset1000000
graphNativeFull;0;909457;subset1000000
graphNativeFull;0;3130;subset1000000
graphNativeFull;0;972919;subset1000000
graphNativeFull;0;272069;subset1000000
graphNativeFull;1;1321;subset1000000
graphNativeFull;0;934430;subset1000000
graphNativeFull;0;961156;subset1000000
graphNativeFull;0;94130;subset1000000
graphNativeFull;0;183277;subset1000000
graphNativeFull;0;1295;subset1000000
graphNativeFull;0;28848;subset1000000
graphNativeFull;0;154240;subset1000000
graphNativeFull;0;58479;subset1000000
graphNativeFull;0;175111;subset1000000
graphNativeFull;0;112076;subset1000000
graphNativeFull;0;830418;subset1000000
graphNativeFull;0;8531;subset1000000
graphNativeFull;1;218;subset1000000
graphNativeFull;0;37951;subset1000000
