Estructura;Tiempos;ID;SetDatos;etc
compressedDense;0;56513;subset100000;
compressedDense;0;94662;subset100000;
compressedDense;0;75959;subset100000;
compressedDense;0;18815;subset100000;
compressedDense;0;41127;subset100000;
compressedDense;0;15257;subset100000;
compressedDense;0;84437;subset100000;
compressedDense;0;3914;subset100000;
compressedDense;0;8040;subset100000;
compressedDense;0;66938;subset100000;
compressedDense;0;37341;subset100000;
compressedDense;0;4119;subset100000;
compressedDense;0;22003;subset100000;
compressedDense;0;81127;subset100000;
compressedDense;0;68584;subset100000;
compressedDense;0;4489;subset100000;
compressedDense;0;97418;subset100000;
compressedDense;0;55321;subset100000;
compressedDense;0;53608;subset100000;
compressedDense;0;35156;subset100000;
compressedDense;0;60267;subset100000;
compressedDense;0;39087;subset100000;
compressedDense;0;90436;subset100000;
compressedDense;0;5474;subset100000;
compressedDense;0;72369;subset100000;
compressedDense;0;17919;subset100000;
compressedDense;0;4841;subset100000;
compressedDense;0;30476;subset100000;
compressedDense;0;40698;subset100000;
compressedDense;0;35447;subset100000;
compressedDense;0;96907;subset100000;
compressedDense;0;30863;subset100000;
compressedDense;0;58222;subset100000;
compressedDense;0;14922;subset100000;
compressedDense;0;45247;subset100000;
compressedDense;0;77982;subset100000;
compressedDense;0;2231;subset100000;
compressedDense;0;5398;subset100000;
compressedDense;0;36006;subset100000;
compressedDense;0;69551;subset100000;
compressedDense;0;64823;subset100000;
compressedDense;0;67717;subset100000;
compressedDense;0;76334;subset100000;
compressedDense;0;38321;subset100000;
compressedDense;0;59821;subset100000;
compressedDense;0;6466;subset100000;
compressedDense;0;18911;subset100000;
compressedDense;0;31899;subset100000;
compressedDense;0;89992;subset100000;
compressedDense;0;25007;subset100000;
compressedDense;0;51710;subset100000;
compressedDense;0;10285;subset100000;
compressedDense;0;28583;subset100000;
compressedDense;0;27141;subset100000;
compressedDense;0;99770;subset100000;
compressedDense;0;70442;subset100000;
compressedDense;0;86501;subset100000;
compressedDense;0;48893;subset100000;
compressedDense;0;96990;subset100000;
compressedDense;0;21548;subset100000;
compressedDense;0;6748;subset100000;
compressedDense;0;13776;subset100000;
compressedDense;0;23430;subset100000;
compressedDense;0;3354;subset100000;
compressedDense;0;67590;subset100000;
compressedDense;0;67612;subset100000;
compressedDense;0;8211;subset100000;
compressedDense;0;5472;subset100000;
compressedDense;0;66532;subset100000;
compressedDense;0;48972;subset100000;
compressedDense;0;80893;subset100000;
compressedDense;0;97362;subset100000;
compressedDense;0;9019;subset100000;
compressedDense;0;29966;subset100000;
compressedDense;0;12706;subset100000;
compressedDense;0;84811;subset100000;
compressedDense;0;11351;subset100000;
compressedDense;0;26439;subset100000;
compressedDense;0;97846;subset100000;
compressedDense;0;42839;subset100000;
compressedDense;0;12382;subset100000;
compressedDense;0;61535;subset100000;
compressedDense;0;46409;subset100000;
compressedDense;0;59886;subset100000;
compressedDense;0;46592;subset100000;
compressedDense;0;63703;subset100000;
compressedDense;0;88483;subset100000;
compressedDense;0;35232;subset100000;
compressedDense;0;69966;subset100000;
compressedDense;0;42428;subset100000;
compressedDense;0;68861;subset100000;
compressedDense;0;47449;subset100000;
compressedDense;0;51068;subset100000;
compressedDense;0;80315;subset100000;
compressedDense;0;53468;subset100000;
compressedDense;0;56013;subset100000;
compressedDense;0;42847;subset100000;
compressedDense;0;90518;subset100000;
compressedDense;0;35547;subset100000;
compressedDense;0;75973;subset100000;
compressedDense;0;18516;subset100000;
compressedDense;0;30576;subset100000;
compressedDense;0;99526;subset100000;
compressedDense;0;49099;subset100000;
compressedDense;0;95186;subset100000;
compressedDense;0;27916;subset100000;
compressedDense;0;71331;subset100000;
compressedDense;0;9381;subset100000;
compressedDense;0;74862;subset100000;
compressedDense;0;99499;subset100000;
compressedDense;0;39692;subset100000;
compressedDense;0;97993;subset100000;
compressedDense;0;87046;subset100000;
compressedDense;0;9519;subset100000;
compressedDense;0;51323;subset100000;
compressedDense;0;45308;subset100000;
compressedDense;0;46801;subset100000;
compressedDense;0;12172;subset100000;
compressedDense;0;99508;subset100000;
compressedDense;0;69312;subset100000;
compressedDense;0;22237;subset100000;
compressedDense;0;65056;subset100000;
compressedDense;0;16911;subset100000;
compressedDense;0;83385;subset100000;
compressedDense;0;20109;subset100000;
compressedDense;0;40868;subset100000;
