Estructura;Tiempos;ID;SetDatos
compressedDense;0;55672;subset100000
compressedDense;1;760;subset100000
compressedDense;0;22645;subset100000
compressedDense;0;717;subset100000
compressedDense;0;59630;subset100000
compressedDense;1;41304;subset100000
compressedDense;0;55991;subset100000
compressedDense;0;67361;subset100000
compressedDense;0;7604;subset100000
compressedDense;0;96128;subset100000
compressedDense;965;5;subset100000
compressedDense;358;183;subset100000
compressedDense;0;94243;subset100000
compressedDense;0;33231;subset100000
compressedDense;0;77978;subset100000
compressedDense;0;82840;subset100000
compressedDense;0;51766;subset100000
compressedDense;0;25690;subset100000
compressedDense;0;25077;subset100000
compressedDense;0;84758;subset100000
compressedDense;0;12626;subset100000
compressedDense;1;12717;subset100000
compressedDense;0;19440;subset100000
compressedDense;0;74607;subset100000
compressedDense;0;81245;subset100000
compressedDense;0;6870;subset100000
compressedDense;519;188;subset100000
compressedDense;0;1733;subset100000
compressedDense;0;77636;subset100000
compressedDense;0;47399;subset100000
compressedDense;0;47912;subset100000
compressedDense;0;9389;subset100000
compressedDense;0;29398;subset100000
compressedDense;0;143;subset100000
compressedDense;0;20694;subset100000
compressedDense;34;1860;subset100000
compressedDense;0;18594;subset100000
compressedDense;0;71955;subset100000
compressedDense;0;51713;subset100000
compressedDense;0;6292;subset100000
compressedDense;129;6723;subset100000
compressedDense;0;44985;subset100000
compressedDense;0;24632;subset100000
compressedDense;1;397;subset100000
compressedDense;0;774;subset100000
compressedDense;0;57984;subset100000
compressedDense;0;14159;subset100000
compressedDense;0;1748;subset100000
compressedDense;0;16749;subset100000
compressedDense;25;82955;subset100000
compressedDense;0;92773;subset100000
compressedDense;0;6824;subset100000
compressedDense;0;9104;subset100000
compressedDense;0;43971;subset100000
compressedDense;0;25135;subset100000
compressedDense;0;68849;subset100000
compressedDense;0;27761;subset100000
compressedDense;0;7798;subset100000
compressedDense;1;6602;subset100000
compressedDense;0;96964;subset100000
compressedDense;0;45962;subset100000
compressedDense;0;87604;subset100000
compressedDense;0;37096;subset100000
compressedDense;0;64233;subset100000
compressedDense;0;100;subset100000
compressedDense;0;22817;subset100000
compressedDense;0;52842;subset100000
compressedDense;0;13464;subset100000
compressedDense;0;20;subset100000
compressedDense;0;41984;subset100000
compressedDense;0;2632;subset100000
compressedDense;0;84863;subset100000
compressedDense;0;27805;subset100000
compressedDense;0;7194;subset100000
compressedDense;0;80061;subset100000
compressedDense;0;2654;subset100000
compressedDense;1;1731;subset100000
compressedDense;0;23641;subset100000
compressedDense;0;23402;subset100000
compressedDense;0;22700;subset100000
compressedDense;0;57274;subset100000
compressedDense;0;1816;subset100000
compressedDense;0;51437;subset100000
compressedDense;0;86453;subset100000
