Estructura;Tiempos;ID;SetDatos
compressedDense;0;7624054;subset10000000;
compressedDense;0;3538123;subset10000000;
compressedDense;0;3373906;subset10000000;
compressedDense;0;9663768;subset10000000;
compressedDense;0;3125689;subset10000000;
compressedDense;0;5498650;subset10000000;
compressedDense;0;2019185;subset10000000;
compressedDense;0;8720253;subset10000000;
compressedDense;0;8612822;subset10000000;
compressedDense;0;5742756;subset10000000;
compressedDense;0;1559923;subset10000000;
compressedDense;0;5002515;subset10000000;
compressedDense;0;9620424;subset10000000;
compressedDense;0;3086518;subset10000000;
compressedDense;0;9227861;subset10000000;
compressedDense;0;1717466;subset10000000;
compressedDense;0;3383635;subset10000000;
compressedDense;0;2344384;subset10000000;
compressedDense;0;9262990;subset10000000;
compressedDense;0;7191421;subset10000000;
compressedDense;0;234898;subset10000000;
compressedDense;0;8223256;subset10000000;
compressedDense;0;8967204;subset10000000;
compressedDense;0;5157738;subset10000000;
compressedDense;0;5750406;subset10000000;
compressedDense;0;601633;subset10000000;
compressedDense;0;4476679;subset10000000;
compressedDense;0;1336380;subset10000000;
compressedDense;0;6399384;subset10000000;
compressedDense;0;3965604;subset10000000;
compressedDense;0;445066;subset10000000;
compressedDense;0;7457908;subset10000000;
compressedDense;0;4471816;subset10000000;
compressedDense;0;1416269;subset10000000;
compressedDense;0;8683628;subset10000000;
compressedDense;0;3521910;subset10000000;
compressedDense;0;961048;subset10000000;
compressedDense;0;8925006;subset10000000;
compressedDense;0;2947130;subset10000000;
compressedDense;0;2709654;subset10000000;
compressedDense;0;4907152;subset10000000;
compressedDense;0;6903908;subset10000000;
compressedDense;0;9028012;subset10000000;
compressedDense;0;9312260;subset10000000;
compressedDense;0;8364400;subset10000000;
compressedDense;0;8119712;subset10000000;
compressedDense;0;3665361;subset10000000;
compressedDense;1;7357655;subset10000000;
compressedDense;0;9528490;subset10000000;
compressedDense;0;6191000;subset10000000;
compressedDense;0;2007678;subset10000000;
compressedDense;0;5581562;subset10000000;
compressedDense;0;7661360;subset10000000;
compressedDense;0;2229571;subset10000000;
compressedDense;0;5957324;subset10000000;
compressedDense;0;5932524;subset10000000;
compressedDense;0;1737198;subset10000000;
compressedDense;0;3251437;subset10000000;
compressedDense;0;8113751;subset10000000;
compressedDense;0;6779117;subset10000000;
compressedDense;0;9542416;subset10000000;
compressedDense;0;6658337;subset10000000;
compressedDense;0;7972743;subset10000000;
compressedDense;0;4004271;subset10000000;
compressedDense;0;9861265;subset10000000;
compressedDense;0;7087982;subset10000000;
compressedDense;0;8281754;subset10000000;
compressedDense;0;2940765;subset10000000;
compressedDense;0;2013592;subset10000000;
compressedDense;0;4417071;subset10000000;
compressedDense;0;8276864;subset10000000;
compressedDense;0;2928829;subset10000000;
compressedDense;0;7573880;subset10000000;
compressedDense;0;3852238;subset10000000;
compressedDense;0;5422527;subset10000000;
compressedDense;0;1341787;subset10000000;
compressedDense;0;109291;subset10000000;
compressedDense;0;3206232;subset10000000;
compressedDense;0;163386;subset10000000;
compressedDense;0;3281643;subset10000000;
compressedDense;0;3815170;subset10000000;
compressedDense;0;6991652;subset10000000;
compressedDense;0;5284287;subset10000000;
compressedDense;0;8853000;subset10000000;
compressedDense;0;1830406;subset10000000;
compressedDense;0;4574125;subset10000000;
compressedDense;0;6038498;subset10000000;
compressedDense;0;2141688;subset10000000;
compressedDense;0;8501625;subset10000000;
compressedDense;0;934462;subset10000000;
compressedDense;0;7909996;subset10000000;
compressedDense;0;6224709;subset10000000;
compressedDense;0;7767297;subset10000000;
compressedDense;0;9781060;subset10000000;
compressedDense;0;4021757;subset10000000;
compressedDense;0;4244384;subset10000000;
compressedDense;0;7447747;subset10000000;
compressedDense;0;4223925;subset10000000;
compressedDense;0;5747897;subset10000000;
compressedDense;0;1280932;subset10000000;
compressedDense;0;4599026;subset10000000;
compressedDense;0;9376858;subset10000000;
compressedDense;0;6508760;subset10000000;
compressedDense;0;5942285;subset10000000;
compressedDense;0;6497410;subset10000000;
compressedDense;0;8257275;subset10000000;
compressedDense;0;9500935;subset10000000;
compressedDense;0;8981167;subset10000000;
compressedDense;0;3671521;subset10000000;
compressedDense;0;8150081;subset10000000;
compressedDense;0;2405051;subset10000000;
compressedDense;0;6168920;subset10000000;
compressedDense;0;1272288;subset10000000;
compressedDense;0;7722979;subset10000000;
compressedDense;0;6547571;subset10000000;
compressedDense;0;6801781;subset10000000;
compressedDense;0;3528514;subset10000000;
compressedDense;0;6930909;subset10000000;
compressedDense;0;6442589;subset10000000;
compressedDense;0;7146693;subset10000000;
compressedDense;0;3399049;subset10000000;
compressedDense;0;243050;subset10000000;
compressedDense;0;8659284;subset10000000;
compressedDense;0;7781687;subset10000000;
compressedDense;0;7237104;subset10000000;
compressedDense;0;7256699;subset10000000;
compressedDense;0;5133505;subset10000000;
compressedDense;0;3738718;subset10000000;
compressedDense;0;7964609;subset10000000;
compressedDense;0;3942286;subset10000000;
compressedDense;0;4912094;subset10000000;
compressedDense;0;4357044;subset10000000;
compressedDense;0;6097860;subset10000000;
compressedDense;0;1518999;subset10000000;
compressedDense;0;735472;subset10000000;
compressedDense;0;1257518;subset10000000;
compressedDense;0;2376218;subset10000000;
compressedDense;0;4488214;subset10000000;
compressedDense;0;6334552;subset10000000;
compressedDense;0;4916336;subset10000000;
compressedDense;0;5429440;subset10000000;
compressedDense;0;8922002;subset10000000;
compressedDense;0;8806043;subset10000000;
compressedDense;0;1291414;subset10000000;
compressedDense;0;7207442;subset10000000;
compressedDense;0;4578588;subset10000000;
compressedDense;0;1349858;subset10000000;
compressedDense;0;7447388;subset10000000;
compressedDense;0;3598372;subset10000000;
compressedDense;0;7271877;subset10000000;
compressedDense;0;2786412;subset10000000;
compressedDense;0;6348789;subset10000000;
compressedDense;0;951941;subset10000000;
compressedDense;0;6846948;subset10000000;
compressedDense;0;3816813;subset10000000;
compressedDense;0;1135931;subset10000000;
compressedDense;0;2345817;subset10000000;
compressedDense;0;351760;subset10000000;
compressedDense;0;5258159;subset10000000;
compressedDense;0;2322918;subset10000000;
compressedDense;0;1504458;subset10000000;
compressedDense;0;8717715;subset10000000;
compressedDense;0;5046423;subset10000000;
compressedDense;0;6933419;subset10000000;
compressedDense;0;1778214;subset10000000;
compressedDense;0;9982268;subset10000000;
compressedDense;0;3707323;subset10000000;
compressedDense;25;340;subset10000000;
compressedDense;0;4775787;subset10000000;
compressedDense;0;7194399;subset10000000;
compressedDense;0;2605010;subset10000000;
compressedDense;0;8119300;subset10000000;
compressedDense;0;6254960;subset10000000;
compressedDense;0;4381940;subset10000000;
compressedDense;0;2525705;subset10000000;
compressedDense;0;8912894;subset10000000;
compressedDense;0;835568;subset10000000;
compressedDense;0;3203804;subset10000000;
compressedDense;0;6504773;subset10000000;
compressedDense;0;7200479;subset10000000;
compressedDense;0;588047;subset10000000;
compressedDense;0;150576;subset10000000;
compressedDense;0;9426437;subset10000000;
compressedDense;0;8870009;subset10000000;
compressedDense;0;6093126;subset10000000;
compressedDense;0;8062362;subset10000000;
compressedDense;0;4094273;subset10000000;
compressedDense;0;7792240;subset10000000;
compressedDense;0;3528473;subset10000000;
compressedDense;0;2036354;subset10000000;
